Rank,name,Country,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf,333mbf
58.0,Adejuwon Adebusuyi Oluwemimo,Nigeria,1249.0,66.0,249.0,50.0,38.0,54.0,56.0,47.0,48.0,318.0,69.0,22.0,78.0,13.0,93.0,16.0,7.0,25.0
59.0,Sadiq Ahmed,Nigeria,1267.0,26.0,81.0,45.0,40.0,26.0,28.0,67.0,48.0,12.0,69.0,245.0,239.0,202.0,91.0,16.0,7.0,25.0
60.0,George Guvamatanga,South Africa,1277.0,88.0,169.0,123.0,57.0,47.0,56.0,28.0,40.0,33.0,14.0,249.0,157.0,65.0,107.0,16.0,7.0,21.0
61.0,Herman Fourie,South Africa,1278.0,40.0,200.0,9.0,8.0,3.0,4.0,69.0,48.0,45.0,69.0,249.0,54.0,325.0,107.0,16.0,7.0,25.0
62.0,Badr Ait Belaid,Morocco,1280.0,7.0,57.0,180.0,215.0,68.0,56.0,3.0,16.0,58.0,42.0,249.0,2.0,291.0,16.0,9.0,7.0,4.0
63.0,Jonathan Munro,South Africa,1284.0,22.0,26.0,46.0,48.0,68.0,56.0,58.0,36.0,42.0,69.0,249.0,170.0,242.0,107.0,16.0,7.0,22.0
64.0,Noah Levin,South Africa,1292.0,256.0,106.0,116.0,117.0,68.0,56.0,69.0,10.0,74.0,69.0,91.0,151.0,37.0,24.0,16.0,7.0,25.0
65.0,Youssef Kallala,Tunisia,1299.0,41.0,42.0,162.0,215.0,68.0,56.0,69.0,48.0,23.0,69.0,249.0,75.0,27.0,107.0,16.0,7.0,25.0
66.0,Aziz Boussarsar,Tunisia,1307.0,320.0,178.0,171.0,78.0,50.0,56.0,69.0,48.0,154.0,43.0,25.0,29.0,6.0,32.0,16.0,7.0,25.0
66.0,Andre Johannes Goosen,South Africa,1307.0,116.0,338.0,66.0,215.0,68.0,56.0,35.0,48.0,148.0,17.0,55.0,7.0,31.0,59.0,16.0,7.0,25.0
68.0,Emmanuel Hawkins,Nigeria,1315.0,43.0,116.0,29.0,215.0,68.0,56.0,69.0,48.0,47.0,69.0,249.0,59.0,92.0,107.0,16.0,7.0,25.0
69.0,Kamaru-Deen Lawal,Nigeria,1317.0,49.0,33.0,27.0,71.0,68.0,56.0,69.0,48.0,37.0,69.0,249.0,61.0,325.0,107.0,16.0,7.0,25.0
70.0,Slimane Siroukane,Algeria,1329.0,179.0,318.0,95.0,84.0,45.0,30.0,49.0,21.0,145.0,40.0,65.0,112.0,43.0,55.0,16.0,7.0,25.0
