Rank,name,Country,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf,333mbf
71.0,Brandon Harris,New Zealand,2262.0,204.0,320.0,94.0,74.0,117.0,52.0,317.0,383.0,208.0,13.0,3.0,123.0,73.0,36.0,65.0,33.0,147.0
72.0,Ashley Foster,New Zealand,2297.0,235.0,5.0,142.0,235.0,241.0,352.0,317.0,125.0,181.0,78.0,81.0,27.0,49.0,22.0,65.0,33.0,109.0
73.0,Ethan Pan,New Zealand,2455.0,140.0,161.0,133.0,203.0,80.0,103.0,10.0,60.0,82.0,214.0,65.0,596.0,261.0,288.0,14.0,33.0,12.0
74.0,Divnoor Bajwa,Australia,2533.0,16.0,277.0,61.0,41.0,51.0,169.0,208.0,383.0,74.0,109.0,266.0,278.0,327.0,28.0,65.0,33.0,147.0
75.0,Kent Thomson,Australia,2534.0,135.0,112.0,110.0,122.0,134.0,98.0,117.0,295.0,140.0,227.0,133.0,187.0,366.0,113.0,65.0,33.0,147.0
76.0,Ryan Driscoll,Australia,2587.0,54.0,56.0,24.0,12.0,7.0,3.0,247.0,299.0,57.0,627.0,138.0,429.0,204.0,185.0,65.0,33.0,147.0
77.0,Michael Alexander,Australia,2599.0,117.0,423.0,183.0,136.0,130.0,146.0,67.0,93.0,190.0,112.0,201.0,99.0,457.0,39.0,65.0,33.0,108.0
78.0,Zach Amiridis,Australia,2621.0,70.0,79.0,154.0,262.0,263.0,213.0,317.0,110.0,114.0,159.0,273.0,101.0,198.0,63.0,65.0,33.0,147.0
79.0,Jay Calter,Australia,2624.0,50.0,51.0,87.0,100.0,177.0,170.0,317.0,73.0,610.0,21.0,473.0,89.0,80.0,81.0,65.0,33.0,147.0
80.0,Gerard McGinley,Australia,2630.0,189.0,24.0,177.0,301.0,206.0,211.0,132.0,48.0,274.0,89.0,212.0,200.0,189.0,133.0,65.0,33.0,147.0
81.0,Lachlan Stephens,Australia,2633.0,28.0,86.0,122.0,138.0,101.0,92.0,146.0,32.0,39.0,627.0,293.0,360.0,184.0,212.0,65.0,33.0,75.0
