Rank,name,Country,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf,333mbf
56.0,Freddy Fernández Córdova,Peru,2864.0,366.0,97.0,198.0,282.0,213.0,193.0,150.0,167.0,336.0,223.0,194.0,51.0,63.0,108.0,80.0,33.0,110.0
57.0,Gabriel Bergue,Brazil,2968.0,190.0,116.0,283.0,230.0,97.0,68.0,584.0,167.0,61.0,148.0,83.0,65.0,84.0,460.0,80.0,33.0,219.0
58.0,Stiven Ortiz,Colombia,2974.0,213.0,249.0,112.0,93.0,140.0,166.0,404.0,138.0,252.0,114.0,85.0,444.0,97.0,135.0,80.0,33.0,219.0
59.0,Felipe Cardim,Brazil,2984.0,376.0,44.0,183.0,107.0,260.0,520.0,431.0,31.0,293.0,59.0,239.0,48.0,52.0,9.0,80.0,33.0,219.0
60.0,Bernardo Torres,Venezuela,2990.0,89.0,297.0,33.0,45.0,162.0,150.0,264.0,338.0,46.0,207.0,66.0,194.0,458.0,309.0,80.0,33.0,219.0
61.0,Elias Alonso Usaqui Cabezas,Peru,2992.0,332.0,732.0,95.0,75.0,71.0,60.0,322.0,420.0,317.0,105.0,14.0,93.0,159.0,60.0,23.0,33.0,81.0
62.0,Sergio Minaya Pimentel,Peru,3020.0,158.0,44.0,88.0,96.0,117.0,156.0,425.0,248.0,197.0,377.0,139.0,79.0,108.0,456.0,80.0,33.0,219.0
63.0,Francisco Cabral de Jesus,Argentina,3063.0,58.0,139.0,175.0,118.0,69.0,50.0,358.0,155.0,166.0,492.0,184.0,361.0,112.0,294.0,80.0,33.0,219.0
64.0,Nicolás Irenco Peña Henríquez,Chile,3069.0,29.0,44.0,30.0,64.0,85.0,557.0,607.0,607.0,34.0,252.0,50.0,255.0,93.0,30.0,80.0,33.0,219.0
65.0,Luka Arce González,Argentina,3091.0,242.0,91.0,317.0,254.0,144.0,184.0,607.0,97.0,250.0,34.0,123.0,136.0,15.0,265.0,80.0,33.0,219.0
66.0,Anuar Miguel Abib Onofre,Brazil,3107.0,51.0,215.0,193.0,473.0,154.0,165.0,43.0,3.0,8.0,275.0,327.0,529.0,553.0,2.0,30.0,30.0,56.0
67.0,Diego Alejandro Casas Jimenez,Colombia,3126.0,296.0,91.0,465.0,212.0,108.0,88.0,134.0,78.0,168.0,87.0,287.0,247.0,291.0,345.0,76.0,33.0,120.0
68.0,Fabricio Andrés Yañez Terrazas,Bolivia,3131.0,120.0,34.0,234.0,150.0,88.0,101.0,607.0,47.0,236.0,196.0,62.0,488.0,307.0,129.0,80.0,33.0,219.0
69.0,Eduard Esteban García Domínguez,Colombia,3156.0,291.0,336.0,276.0,252.0,167.0,135.0,350.0,47.0,131.0,198.0,183.0,107.0,171.0,180.0,80.0,33.0,219.0
70.0,Josué Esteban Bacilio Chicoma,Peru,3169.0,136.0,19.0,194.0,459.0,474.0,557.0,146.0,97.0,98.0,293.0,54.0,35.0,146.0,250.0,80.0,33.0,98.0
71.0,Nicolás Shwkyng Monroy,Colombia,3219.0,153.0,205.0,157.0,112.0,118.0,98.0,259.0,190.0,207.0,128.0,472.0,371.0,246.0,293.0,80.0,33.0,97.0
72.0,Marco Antonio Ponce de León Aguilar,Peru,3225.0,220.0,169.0,23.0,27.0,18.0,5.0,172.0,313.0,94.0,727.0,65.0,194.0,561.0,395.0,80.0,33.0,129.0
73.0,Cristóbal Opazo Bravo,Chile,3254.0,281.0,318.0,252.0,256.0,291.0,306.0,444.0,212.0,176.0,17.0,189.0,52.0,134.0,57.0,80.0,33.0,156.0
74.0,Vicente Astroza,Chile,3268.0,374.0,228.0,278.0,151.0,113.0,67.0,219.0,248.0,261.0,218.0,84.0,94.0,555.0,46.0,80.0,33.0,219.0
75.0,Erick Lemus Fuentes,Chile,3295.0,158.0,310.0,92.0,51.0,53.0,23.0,173.0,607.0,56.0,390.0,286.0,394.0,300.0,194.0,80.0,33.0,95.0
76.0,Aharon Campoli Tono,Brazil,3315.0,240.0,15.0,248.0,114.0,8.0,6.0,208.0,338.0,202.0,147.0,700.0,361.0,47.0,430.0,80.0,33.0,138.0
77.0,Pedro Paulo Lima Sasaki,Brazil,3368.0,376.0,222.0,32.0,39.0,25.0,13.0,180.0,607.0,535.0,73.0,307.0,113.0,375.0,139.0,80.0,33.0,219.0
78.0,Carlos Sullca Mejía,Peru,3412.0,169.0,336.0,76.0,35.0,166.0,124.0,607.0,607.0,63.0,286.0,74.0,169.0,44.0,324.0,80.0,33.0,219.0
79.0,Felipe Rueda Hernández,Colombia,3424.0,61.0,133.0,118.0,145.0,158.0,137.0,458.0,78.0,286.0,338.0,19.0,368.0,378.0,415.0,80.0,33.0,219.0
80.0,José David Rendón Martínez,Colombia,3491.0,84.0,83.0,125.0,250.0,442.0,557.0,607.0,155.0,172.0,205.0,76.0,105.0,2.0,296.0,80.0,33.0,219.0
81.0,Nicolas Campanario,Argentina,3514.0,310.0,479.0,249.0,304.0,231.0,174.0,5.0,167.0,296.0,160.0,108.0,278.0,356.0,341.0,19.0,33.0,4.0
82.0,Adriano Matoba Lipski,Brazil,3595.0,70.0,99.0,73.0,30.0,78.0,106.0,300.0,31.0,52.0,291.0,477.0,652.0,545.0,459.0,80.0,33.0,219.0
83.0,Facundo Finola,Argentina,3619.0,492.0,151.0,172.0,214.0,168.0,226.0,375.0,78.0,166.0,89.0,390.0,240.0,201.0,325.0,80.0,33.0,219.0
84.0,Carlos Villanueva,Argentina,3712.0,471.0,178.0,306.0,311.0,192.0,136.0,101.0,167.0,619.0,15.0,43.0,621.0,186.0,198.0,71.0,33.0,64.0
85.0,Pedro Lobeto Miyamoto,Brazil,3714.0,180.0,54.0,490.0,288.0,698.0,557.0,54.0,78.0,225.0,16.0,197.0,247.0,414.0,68.0,80.0,33.0,35.0
86.0,Claudio Andre Gomez Villca,Bolivia,3745.0,224.0,386.0,106.0,19.0,38.0,29.0,607.0,167.0,248.0,629.0,281.0,174.0,455.0,50.0,80.0,33.0,219.0
87.0,Oscar Alberto Ceballos Contreras,Venezuela,3758.0,430.0,205.0,422.0,306.0,199.0,151.0,168.0,138.0,302.0,136.0,276.0,472.0,129.0,197.0,80.0,33.0,114.0
88.0,Andrés Hisashi Suzuki Cabrera,Peru,3791.0,131.0,359.0,423.0,369.0,159.0,209.0,66.0,263.0,745.0,10.0,418.0,342.0,18.0,3.0,80.0,33.0,163.0
89.0,Rafael Antonio Sanchez,Venezuela,3826.0,198.0,88.0,387.0,346.0,370.0,317.0,311.0,155.0,282.0,428.0,41.0,101.0,151.0,319.0,80.0,33.0,219.0
