Rank,name,Country,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf
65.0,Christiaan Botha,South Africa,1166.0,115.0,61.0,138.0,80.0,57.0,40.0,17.0,24.0,80.0,53.0,65.0,30.0,314.0,89.0,3.0
66.0,Micah Willenburgh,South Africa,1172.0,287.0,42.0,176.0,158.0,57.0,40.0,17.0,24.0,188.0,53.0,39.0,44.0,28.0,16.0,3.0
67.0,Anas Meziani,Morocco,1187.0,81.0,139.0,25.0,23.0,57.0,40.0,17.0,24.0,21.0,53.0,33.0,346.0,252.0,73.0,3.0
68.0,Tristan Ford,South Africa,1193.0,127.0,256.0,141.0,88.0,57.0,40.0,17.0,24.0,153.0,11.0,28.0,219.0,7.0,22.0,3.0
69.0,Noah Levin,South Africa,1195.0,311.0,101.0,81.0,158.0,57.0,40.0,17.0,24.0,101.0,53.0,98.0,63.0,55.0,33.0,3.0
70.0,Adejuwon Adebusuyi Oluwemimo,Nigeria,1233.0,119.0,166.0,44.0,35.0,57.0,40.0,17.0,24.0,461.0,53.0,17.0,84.0,24.0,89.0,3.0
71.0,Victor Ebubechukwu Tobechukwu Asiwe,Nigeria,1240.0,151.0,21.0,62.0,102.0,57.0,40.0,17.0,24.0,30.0,53.0,168.0,109.0,314.0,89.0,3.0
72.0,Chase Lee Roodt,South Africa,1244.0,322.0,68.0,180.0,108.0,57.0,40.0,17.0,24.0,239.0,32.0,35.0,4.0,26.0,89.0,3.0
73.0,Aditya Ramessur,Mauritius,1257.0,146.0,298.0,101.0,79.0,57.0,40.0,17.0,24.0,105.0,53.0,30.0,121.0,94.0,89.0,3.0
74.0,Rayan Kerkeni,Tunisia,1266.0,217.0,36.0,245.0,158.0,57.0,40.0,17.0,24.0,119.0,53.0,135.0,29.0,44.0,89.0,3.0
75.0,Sadiq Ahmed,Nigeria,1268.0,35.0,107.0,48.0,33.0,25.0,40.0,17.0,24.0,10.0,53.0,168.0,444.0,172.0,89.0,3.0
76.0,Aziz Boussarsar,Tunisia,1273.0,363.0,160.0,186.0,85.0,46.0,40.0,17.0,24.0,229.0,38.0,26.0,17.0,4.0,35.0,3.0
77.0,Akin Falase,Nigeria,1300.0,277.0,106.0,50.0,158.0,57.0,40.0,17.0,24.0,96.0,53.0,73.0,161.0,96.0,89.0,3.0
78.0,Raefe Roodt,South Africa,1303.0,131.0,56.0,106.0,94.0,57.0,40.0,17.0,24.0,217.0,53.0,94.0,238.0,130.0,43.0,3.0
79.0,Stephen Cotterrell,South Africa,1319.0,59.0,100.0,57.0,76.0,57.0,40.0,17.0,24.0,93.0,53.0,88.0,249.0,314.0,89.0,3.0
80.0,Fares Arshad Hussain Shah,Egypt,1330.0,21.0,17.0,385.0,158.0,57.0,40.0,17.0,24.0,67.0,53.0,168.0,186.0,45.0,89.0,3.0
81.0,Tarek Bazizi,Algeria,1335.0,123.0,178.0,70.0,91.0,57.0,40.0,17.0,24.0,114.0,53.0,92.0,73.0,314.0,86.0,3.0
82.0,Kamaru-Deen Lawal,Nigeria,1336.0,37.0,26.0,38.0,158.0,57.0,40.0,17.0,24.0,61.0,53.0,168.0,251.0,314.0,89.0,3.0
83.0,Badr Ait Belaid,Morocco,1341.0,9.0,41.0,385.0,158.0,57.0,40.0,3.0,12.0,73.0,53.0,168.0,1.0,314.0,24.0,3.0
84.0,Ekhard Rabie,South Africa,1342.0,142.0,22.0,263.0,109.0,57.0,40.0,17.0,24.0,99.0,53.0,108.0,52.0,264.0,89.0,3.0
85.0,Duan Myburgh,South Africa,1344.0,134.0,139.0,87.0,53.0,57.0,40.0,17.0,24.0,138.0,53.0,50.0,355.0,105.0,89.0,3.0
86.0,George Guvamatanga,South Africa,1349.0,118.0,141.0,121.0,58.0,57.0,40.0,17.0,24.0,45.0,21.0,168.0,334.0,113.0,89.0,3.0
87.0,Milind Bhoyroo,Mauritius,1358.0,146.0,69.0,161.0,158.0,57.0,40.0,17.0,24.0,135.0,53.0,146.0,136.0,124.0,89.0,3.0
88.0,Kieran Weitz,South Africa,1363.0,198.0,132.0,174.0,158.0,57.0,40.0,17.0,24.0,198.0,53.0,49.0,96.0,75.0,89.0,3.0
89.0,Brent Boswell,South Africa,1370.0,177.0,264.0,87.0,86.0,48.0,40.0,17.0,24.0,76.0,44.0,123.0,160.0,153.0,68.0,3.0
90.0,Herman Fourie,South Africa,1374.0,19.0,83.0,13.0,6.0,3.0,3.0,17.0,24.0,43.0,53.0,168.0,536.0,314.0,89.0,3.0
91.0,Slimane Siroukane,Algeria,1385.0,281.0,245.0,95.0,158.0,43.0,26.0,16.0,17.0,145.0,46.0,51.0,81.0,89.0,89.0,3.0
92.0,Ryan du Preez,South Africa,1394.0,204.0,206.0,71.0,64.0,57.0,40.0,17.0,24.0,151.0,53.0,80.0,57.0,278.0,89.0,3.0
93.0,Selim Makni,Tunisia,1397.0,110.0,62.0,152.0,158.0,57.0,40.0,13.0,24.0,86.0,53.0,62.0,229.0,303.0,45.0,3.0
94.0,Daniel Peter Charles Moore,South Africa,1413.0,165.0,123.0,112.0,81.0,57.0,40.0,17.0,24.0,149.0,53.0,168.0,18.0,314.0,89.0,3.0
95.0,Ehikhuemen Paul,Nigeria,1415.0,62.0,554.0,17.0,26.0,57.0,40.0,17.0,24.0,26.0,53.0,34.0,99.0,314.0,89.0,3.0
96.0,Nicholas Barlow,South Africa,1434.0,22.0,52.0,385.0,158.0,57.0,40.0,17.0,24.0,98.0,53.0,115.0,86.0,235.0,89.0,3.0
97.0,Nkosinathi Radebe,South Africa,1447.0,238.0,209.0,154.0,90.0,57.0,40.0,17.0,24.0,192.0,53.0,75.0,119.0,87.0,89.0,3.0
98.0,Nicholas Gray,South Africa,1455.0,0.0,0.0,385.0,158.0,57.0,40.0,17.0,24.0,461.0,53.0,168.0,0.0,0.0,89.0,3.0
99.0,Devon Hong,South Africa,1456.0,225.0,73.0,182.0,158.0,57.0,40.0,17.0,24.0,228.0,53.0,168.0,58.0,81.0,89.0,3.0
100.0,Arav Maharajh,South Africa,1498.0,37.0,57.0,63.0,72.0,57.0,40.0,17.0,24.0,461.0,53.0,47.0,182.0,314.0,71.0,3.0
101.0,Zaakir Hagee,South Africa,1508.0,15.0,16.0,385.0,158.0,57.0,40.0,17.0,24.0,28.0,53.0,168.0,141.0,314.0,89.0,3.0
102.0,Jay Kuria Muthari,Kenya,1512.0,65.0,78.0,385.0,158.0,57.0,40.0,17.0,24.0,51.0,53.0,168.0,10.0,314.0,89.0,3.0
103.0,Uan Hermanus,South Africa,1523.0,222.0,215.0,148.0,158.0,57.0,40.0,17.0,24.0,141.0,53.0,168.0,78.0,139.0,60.0,3.0
104.0,Walt Deyzel,South Africa,1533.0,168.0,60.0,114.0,158.0,57.0,40.0,17.0,24.0,221.0,53.0,168.0,47.0,314.0,89.0,3.0
105.0,Hannah Nader Eskander,Egypt,1549.0,6.0,110.0,53.0,158.0,57.0,40.0,17.0,24.0,214.0,53.0,168.0,243.0,314.0,89.0,3.0
106.0,Luan van der Walt,South Africa,1558.0,229.0,120.0,163.0,158.0,57.0,40.0,17.0,24.0,243.0,53.0,87.0,97.0,178.0,89.0,3.0
107.0,Omar Ouadouha,Morocco,1560.0,73.0,149.0,20.0,158.0,57.0,40.0,11.0,24.0,59.0,53.0,101.0,409.0,314.0,89.0,3.0
108.0,Luke Kindon,South Africa,1569.0,188.0,105.0,98.0,158.0,57.0,40.0,17.0,24.0,176.0,53.0,168.0,79.0,314.0,89.0,3.0
109.0,Christopher Kondylis,South Africa,1571.0,100.0,87.0,136.0,96.0,57.0,40.0,17.0,24.0,160.0,53.0,168.0,298.0,243.0,89.0,3.0
110.0,Jordan Byres,South Africa,1573.0,117.0,87.0,127.0,73.0,57.0,40.0,17.0,24.0,278.0,53.0,168.0,126.0,314.0,89.0,3.0
111.0,Juan Erasmus,South Africa,1576.0,279.0,132.0,103.0,158.0,57.0,40.0,17.0,24.0,238.0,37.0,42.0,213.0,144.0,89.0,3.0
