Rank,name,Sum,333,222,444,555,333oh,pyram
97.0,Tafita Delloue Ralaimiharintsoa,208.0,94.0,46.0,24.0,11.0,31.0,2.0
98.0,Alexandre Hariseheno,209.0,95.0,46.0,24.0,11.0,31.0,2.0
99.0,Seyah Nathan Razafindrabesa,210.0,96.0,46.0,24.0,11.0,31.0,2.0
100.0,Mitantsoa Rakotomamonjy,211.0,97.0,46.0,24.0,11.0,31.0,2.0
101.0,Princy Finaritra Randrianaivoson,212.0,98.0,46.0,24.0,11.0,31.0,2.0
102.0,Mandrindra Rivoharinjaka Robinson,213.0,99.0,46.0,24.0,11.0,31.0,2.0
103.0,Christopher Eden Rovison,214.0,102.0,44.0,24.0,11.0,31.0,2.0
103.0,Nantenaina Ralambomahay,214.0,113.0,46.0,11.0,11.0,31.0,2.0
103.0,Ronald Andrianavalova,214.0,100.0,46.0,24.0,11.0,31.0,2.0
106.0,Nomena Rasandifera,215.0,101.0,46.0,24.0,11.0,31.0,2.0
107.0,Tiavinirina Andrinimanda,217.0,103.0,46.0,24.0,11.0,31.0,2.0
108.0,Eric Razafinarivo,218.0,104.0,46.0,24.0,11.0,31.0,2.0
109.0,Toavinirina Andriamanda,219.0,105.0,46.0,24.0,11.0,31.0,2.0
110.0,Myriam Gracia Ramanitriniaina,220.0,106.0,46.0,24.0,11.0,31.0,2.0
111.0,Mandresy Aaron Ramorasata,221.0,107.0,46.0,24.0,11.0,31.0,2.0
112.0,Randykael Rasoanarivo,222.0,108.0,46.0,24.0,11.0,31.0,2.0
113.0,Mahery Andrianaivo,223.0,109.0,46.0,24.0,11.0,31.0,2.0
114.0,Aina Avana,224.0,113.0,43.0,24.0,11.0,31.0,2.0
114.0,Kanto Rasoanarivo,224.0,110.0,46.0,24.0,11.0,31.0,2.0
116.0,Landry Ramampiandra,225.0,111.0,46.0,24.0,11.0,31.0,2.0
117.0,Lafatra Ratsiambakaina,226.0,112.0,46.0,24.0,11.0,31.0,2.0
117.0,Anayah Andriatsimisetra,226.0,113.0,46.0,24.0,11.0,31.0,1.0
