Rank,name,Sum,333,222,444,555,666,777,333bf,333oh,clock,minx,pyram,skewb,sq1
86.0,Mohammad Asif Karim,723.0,75.0,64.0,51.0,46.0,18.0,13.0,2.0,84.0,5.0,36.0,180.0,119.0,30.0
88.0,Shadman Jarif,724.0,92.0,77.0,105.0,46.0,18.0,13.0,2.0,67.0,5.0,36.0,114.0,119.0,30.0
89.0,Labib Jahan,740.0,65.0,33.0,89.0,46.0,18.0,13.0,2.0,86.0,5.0,36.0,198.0,119.0,30.0
89.0,Mahbubul Hossain Robin,740.0,28.0,240.0,105.0,46.0,18.0,13.0,2.0,3.0,5.0,36.0,95.0,119.0,30.0
91.0,Mohammad Ahsanul Mahbub Fahim,751.0,104.0,182.0,105.0,46.0,18.0,13.0,2.0,79.0,5.0,36.0,46.0,85.0,30.0
92.0,Faiyaz Kamrul Khan,752.0,131.0,117.0,44.0,29.0,18.0,13.0,2.0,97.0,5.0,36.0,111.0,119.0,30.0
93.0,Tasveer Ahmad,756.0,23.0,102.0,105.0,46.0,18.0,13.0,2.0,26.0,5.0,36.0,231.0,119.0,30.0
94.0,Shaikh M. Rahman Mueid,758.0,9.0,137.0,105.0,46.0,18.0,13.0,2.0,7.0,5.0,36.0,231.0,119.0,30.0
95.0,Elham Mubasshir Fahim,767.0,183.0,103.0,102.0,46.0,18.0,13.0,2.0,54.0,5.0,36.0,138.0,37.0,30.0
96.0,Shaikat Rahman Khan,773.0,42.0,70.0,91.0,46.0,18.0,13.0,2.0,70.0,5.0,36.0,231.0,119.0,30.0
97.0,Davejoty,783.0,117.0,82.0,29.0,46.0,18.0,13.0,2.0,189.0,5.0,36.0,97.0,119.0,30.0
98.0,Zarif Hoque Sanju,785.0,165.0,134.0,105.0,46.0,18.0,13.0,2.0,116.0,5.0,36.0,65.0,50.0,30.0
99.0,Hasin Ryhan,799.0,156.0,140.0,105.0,46.0,18.0,13.0,2.0,189.0,5.0,36.0,26.0,33.0,30.0
100.0,Jahidul Islam,801.0,30.0,152.0,105.0,46.0,18.0,13.0,2.0,14.0,5.0,36.0,231.0,119.0,30.0
