Rank,name,Sum,333,222,444,555,666,333oh,clock,minx,pyram,skewb,sq1
95.0,Ana Gachechiladze (ანა გაჩეჩილაძე),384.0,111.0,61.0,27.0,9.0,2.0,38.0,2.0,8.0,87.0,34.0,5.0
96.0,Sandro Gokieli,385.0,94.0,79.0,27.0,9.0,2.0,38.0,2.0,8.0,87.0,34.0,5.0
96.0,Dachi Tchatchia (დაჩი ჭაჭია),385.0,74.0,109.0,27.0,9.0,2.0,28.0,2.0,8.0,87.0,34.0,5.0
98.0,Iva Japaridze (ივა ჯაფარიძე),386.0,110.0,80.0,27.0,9.0,2.0,38.0,2.0,8.0,71.0,34.0,5.0
99.0,Nikoloz Jojua,387.0,66.0,109.0,27.0,9.0,2.0,38.0,2.0,8.0,87.0,34.0,5.0
100.0,Lasha Baqaquri,389.0,106.0,77.0,27.0,9.0,2.0,38.0,2.0,8.0,81.0,34.0,5.0
101.0,Giorgi Tsiklauri (გიორგი წიკლაური),391.0,112.0,67.0,27.0,9.0,2.0,38.0,2.0,8.0,87.0,34.0,5.0
102.0,Lasha Gogolashvili,396.0,118.0,99.0,27.0,9.0,2.0,38.0,2.0,8.0,54.0,34.0,5.0
102.0,Nikoloz Dzmanashvili,396.0,75.0,109.0,27.0,9.0,2.0,38.0,2.0,8.0,87.0,34.0,5.0
104.0,Ana Barjadze,397.0,104.0,81.0,27.0,9.0,2.0,38.0,2.0,8.0,87.0,34.0,5.0
105.0,Nikoloz Nikolashvili (ნიკოლოზ ნიკოლაშვილი),398.0,147.0,51.0,27.0,9.0,2.0,38.0,2.0,8.0,75.0,34.0,5.0
105.0,Boris Jangiani,398.0,100.0,86.0,27.0,9.0,2.0,38.0,2.0,8.0,87.0,34.0,5.0
107.0,Luka Khokhiashvili,400.0,79.0,109.0,27.0,9.0,2.0,38.0,2.0,8.0,87.0,34.0,5.0
108.0,Nikoloz Papashvili (ნიკოლოზ პაპაშვილი),404.0,83.0,109.0,27.0,9.0,2.0,38.0,2.0,8.0,87.0,34.0,5.0
