Rank,name,Sum,333,222,444,555,666,777,333oh,clock,minx,pyram,skewb,sq1
67.0,Stefan Sivevski,348.0,26.0,101.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,84.0,40.0,5.0
69.0,Nikola Hristovski,349.0,67.0,61.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,84.0,40.0,5.0
70.0,Filip Jaskoski,351.0,29.0,101.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,84.0,40.0,5.0
71.0,Ivan Mitrovski,354.0,99.0,77.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,41.0,40.0,5.0
71.0,Stefan Gjorgjeski,354.0,49.0,101.0,23.0,13.0,7.0,5.0,23.0,2.0,8.0,78.0,40.0,5.0
71.0,David Bozijanov,354.0,32.0,101.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,84.0,40.0,5.0
74.0,Aleksandra Arsovska,355.0,98.0,101.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,19.0,40.0,5.0
74.0,Nikola Dimitrieski,355.0,74.0,60.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,84.0,40.0,5.0
76.0,Andrej Saltirovski,357.0,35.0,101.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,84.0,40.0,5.0
76.0,Darko Todorov,357.0,51.0,85.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,84.0,40.0,5.0
78.0,Matej Stojanovski,359.0,37.0,101.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,84.0,40.0,5.0
79.0,Darko Eftimov,361.0,109.0,76.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,39.0,40.0,5.0
80.0,Dushan Petkovski,363.0,41.0,101.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,84.0,40.0,5.0
81.0,Kliment Filipov,365.0,61.0,101.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,84.0,22.0,5.0
81.0,Bojan Danilovski,365.0,102.0,56.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,72.0,38.0,5.0
83.0,Stefan Ordevski,366.0,101.0,91.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,37.0,40.0,5.0
84.0,Ognjen Stojanovski,367.0,130.0,62.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,48.0,30.0,5.0
84.0,Matej Mojsovski,367.0,136.0,93.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,12.0,29.0,5.0
84.0,Ivan Iliev,367.0,45.0,101.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,84.0,40.0,5.0
87.0,Jovan Damjanovski,370.0,120.0,92.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,34.0,27.0,5.0
87.0,Marko Kotevski,370.0,78.0,75.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,80.0,40.0,5.0
87.0,Konstantin Denkovski,370.0,82.0,67.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,84.0,40.0,5.0
90.0,Marko Gjurikj,371.0,89.0,73.0,22.0,13.0,7.0,5.0,23.0,2.0,8.0,84.0,40.0,5.0
91.0,Nikola Kostadinov,375.0,53.0,101.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,84.0,40.0,5.0
92.0,Kristijan Shtrkov,376.0,96.0,70.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,73.0,40.0,5.0
93.0,Pavel Toshinski,379.0,57.0,101.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,84.0,40.0,5.0
94.0,Adam Stevanovski,380.0,106.0,79.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,58.0,40.0,5.0
95.0,Filip Gugoski,382.0,92.0,69.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,84.0,40.0,5.0
95.0,Aneta Chankulovska,382.0,97.0,64.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,84.0,40.0,5.0
97.0,Danail Kotevski,383.0,100.0,81.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,65.0,40.0,5.0
98.0,Andrej Arsovski,385.0,145.0,74.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,29.0,40.0,5.0
98.0,Gorjan Bunteski,385.0,63.0,101.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,84.0,40.0,5.0
100.0,Andrej Majstorovski,391.0,111.0,83.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,60.0,40.0,5.0
100.0,Pavel Trajkoski,391.0,90.0,97.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,67.0,40.0,5.0
102.0,Fani Lazovska,392.0,151.0,90.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,14.0,40.0,5.0
103.0,Matej Milevski,397.0,75.0,101.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,84.0,40.0,5.0
104.0,Jovan Kolevski,398.0,118.0,59.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,84.0,40.0,5.0
105.0,Filip Grozdanovski,399.0,77.0,101.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,84.0,40.0,5.0
106.0,Hristijan Sekuloski,400.0,105.0,101.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,57.0,40.0,5.0
107.0,Stefan Ristovski,401.0,108.0,89.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,67.0,40.0,5.0
107.0,Davor Geros,401.0,114.0,88.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,62.0,40.0,5.0
107.0,Angela Zorchec,401.0,79.0,101.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,84.0,40.0,5.0
110.0,Andrej Gelevski,404.0,119.0,101.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,47.0,40.0,5.0
111.0,Art Ramadani,406.0,84.0,101.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,84.0,40.0,5.0
112.0,Petar Denchevski,408.0,86.0,101.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,84.0,40.0,5.0
112.0,Stefan Kuzmanov,408.0,107.0,80.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,84.0,40.0,5.0
114.0,Lazar Nelkovski,409.0,87.0,101.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,84.0,40.0,5.0
115.0,Luka Nešić,410.0,132.0,86.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,55.0,40.0,5.0
116.0,Rade Jovcev,411.0,113.0,84.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,77.0,40.0,5.0
117.0,Simon Prangovski,414.0,95.0,98.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,84.0,40.0,5.0
117.0,Oleg Trajkovski,414.0,139.0,82.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,64.0,32.0,5.0
119.0,Stefan Knezhevikj,415.0,151.0,43.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,84.0,40.0,5.0
120.0,Filip Milkovski,416.0,94.0,101.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,84.0,40.0,5.0
121.0,Antoni Aleksovski,418.0,133.0,101.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,51.0,36.0,5.0
