Rank,name,Sum,333,222,444,555,666,333fm,333oh,clock,minx,pyram,skewb,sq1
84.0,Vladislav Leșan,290.0,63.0,88.0,24.0,9.0,4.0,2.0,24.0,3.0,4.0,44.0,21.0,4.0
85.0,Marius Gherasim,291.0,87.0,65.0,24.0,9.0,4.0,2.0,24.0,3.0,4.0,44.0,21.0,4.0
85.0,Daniel Dogot,291.0,64.0,88.0,24.0,9.0,4.0,2.0,24.0,3.0,4.0,44.0,21.0,4.0
87.0,Alexandru Roșculeț,293.0,92.0,62.0,24.0,9.0,4.0,2.0,24.0,3.0,4.0,44.0,21.0,4.0
87.0,Gleb Burstein,293.0,66.0,88.0,24.0,9.0,4.0,2.0,24.0,3.0,4.0,44.0,21.0,4.0
87.0,Mihai Vidaico,293.0,91.0,63.0,24.0,9.0,4.0,2.0,24.0,3.0,4.0,44.0,21.0,4.0
90.0,Alexandr Savan,297.0,100.0,78.0,24.0,9.0,4.0,2.0,24.0,3.0,4.0,30.0,15.0,4.0
90.0,Gabriel Ivanov,297.0,98.0,75.0,24.0,9.0,4.0,2.0,24.0,3.0,4.0,29.0,21.0,4.0
92.0,Gabriel Grecu,299.0,89.0,76.0,24.0,9.0,4.0,2.0,24.0,3.0,4.0,39.0,21.0,4.0
93.0,Daniel Odobescu,301.0,95.0,88.0,24.0,9.0,4.0,2.0,24.0,3.0,4.0,23.0,21.0,4.0
94.0,Stas Grumeza,306.0,79.0,88.0,24.0,9.0,4.0,2.0,24.0,3.0,4.0,44.0,21.0,4.0
95.0,Dmitrii Cerneuc,310.0,83.0,88.0,24.0,9.0,4.0,2.0,24.0,3.0,4.0,44.0,21.0,4.0
95.0,Nichita Vicol,310.0,86.0,85.0,24.0,9.0,4.0,2.0,24.0,3.0,4.0,44.0,21.0,4.0
95.0,Vladislav Fortuna,310.0,104.0,67.0,24.0,9.0,4.0,2.0,24.0,3.0,4.0,44.0,21.0,4.0
95.0,Artiom Savan,310.0,101.0,80.0,24.0,9.0,4.0,2.0,24.0,3.0,4.0,35.0,20.0,4.0
99.0,Radu Cuciuc,311.0,99.0,73.0,24.0,9.0,4.0,2.0,24.0,3.0,4.0,44.0,21.0,4.0
99.0,Loredana Moldovanu,311.0,119.0,60.0,24.0,9.0,4.0,2.0,24.0,3.0,4.0,41.0,17.0,4.0
101.0,Ștefan Corin,315.0,88.0,88.0,24.0,9.0,4.0,2.0,24.0,3.0,4.0,44.0,21.0,4.0
102.0,Cristina Rotaru,317.0,106.0,72.0,24.0,9.0,4.0,2.0,24.0,3.0,4.0,44.0,21.0,4.0
102.0,Artem Prizenco,317.0,90.0,88.0,24.0,9.0,4.0,2.0,24.0,3.0,4.0,44.0,21.0,4.0
104.0,Alisa Busuioc,318.0,108.0,84.0,24.0,9.0,4.0,2.0,24.0,3.0,4.0,31.0,21.0,4.0
105.0,Valeria Țurcan,320.0,93.0,88.0,24.0,9.0,4.0,2.0,24.0,3.0,4.0,44.0,21.0,4.0
106.0,Igor Jenunki,321.0,96.0,88.0,24.0,9.0,4.0,2.0,24.0,3.0,4.0,42.0,21.0,4.0
107.0,Fedor Kontievskii (Фёдор Контиевский),323.0,97.0,87.0,24.0,9.0,4.0,2.0,24.0,3.0,4.0,44.0,21.0,4.0
108.0,Teodor Cozmolici,327.0,119.0,69.0,24.0,9.0,4.0,2.0,24.0,3.0,4.0,44.0,21.0,4.0
109.0,Bogdan Stratan,330.0,114.0,77.0,24.0,9.0,4.0,2.0,24.0,3.0,4.0,44.0,21.0,4.0
109.0,Iulian Sobețchi,330.0,103.0,88.0,24.0,9.0,4.0,2.0,24.0,3.0,4.0,44.0,21.0,4.0
111.0,David Petrenco,332.0,105.0,88.0,24.0,9.0,4.0,2.0,24.0,3.0,4.0,44.0,21.0,4.0
111.0,Paula Ciochina,332.0,119.0,74.0,24.0,9.0,4.0,2.0,24.0,3.0,4.0,44.0,21.0,4.0
113.0,Andriana Mihaila,336.0,109.0,88.0,24.0,9.0,4.0,2.0,24.0,3.0,4.0,44.0,21.0,4.0
114.0,Gabriel Postica,337.0,110.0,88.0,24.0,9.0,4.0,2.0,24.0,3.0,4.0,44.0,21.0,4.0
115.0,Veronica Untila,338.0,111.0,88.0,24.0,9.0,4.0,2.0,24.0,3.0,4.0,44.0,21.0,4.0
116.0,Stefan Ostas,339.0,112.0,88.0,24.0,9.0,4.0,2.0,24.0,3.0,4.0,44.0,21.0,4.0
117.0,Richard Rusu,340.0,119.0,83.0,24.0,9.0,4.0,2.0,24.0,3.0,4.0,43.0,21.0,4.0
117.0,Julia Guma,340.0,113.0,88.0,24.0,9.0,4.0,2.0,24.0,3.0,4.0,44.0,21.0,4.0
119.0,Vlad Slimovschi,342.0,115.0,88.0,24.0,9.0,4.0,2.0,24.0,3.0,4.0,44.0,21.0,4.0
120.0,Strelet Alexandru,343.0,116.0,88.0,24.0,9.0,4.0,2.0,24.0,3.0,4.0,44.0,21.0,4.0
121.0,Serghei Sofoskin,344.0,119.0,86.0,24.0,9.0,4.0,2.0,24.0,3.0,4.0,44.0,21.0,4.0
121.0,Viorel Culea,344.0,117.0,88.0,24.0,9.0,4.0,2.0,24.0,3.0,4.0,44.0,21.0,4.0
123.0,Laurentiu Racovet,345.0,118.0,88.0,24.0,9.0,4.0,2.0,24.0,3.0,4.0,44.0,21.0,4.0
