Rank,name,Sum,333,222,444,555,666,777,333bf,333oh,clock,minx,pyram,skewb,sq1
129.0,Emirlan Tashbaev (Эмирлан Ташбаев),560.0,94.0,132.0,53.0,17.0,3.0,2.0,2.0,48.0,4.0,18.0,115.0,54.0,18.0
130.0,Nikita Tarbokov,564.0,130.0,124.0,53.0,17.0,3.0,2.0,2.0,48.0,4.0,18.0,91.0,54.0,18.0
131.0,Isa Sydykbekov (Иса Сыдыкбеков),566.0,125.0,109.0,53.0,17.0,3.0,2.0,2.0,48.0,4.0,18.0,113.0,54.0,18.0
132.0,Ilya Bezhetskikh,568.0,170.0,120.0,53.0,17.0,3.0,2.0,2.0,48.0,4.0,18.0,61.0,52.0,18.0
133.0,Dastan Djorobaev (Дастан Джоробаев),570.0,148.0,126.0,53.0,17.0,3.0,2.0,2.0,48.0,4.0,18.0,77.0,54.0,18.0
133.0,Aidar Nogoev (Айдар Ногоев),570.0,104.0,132.0,53.0,17.0,3.0,2.0,2.0,48.0,4.0,18.0,115.0,54.0,18.0
133.0,Baiel Asanov (Байэл Асанов),570.0,156.0,119.0,53.0,17.0,3.0,2.0,2.0,48.0,4.0,18.0,76.0,54.0,18.0
136.0,Rahat Jumaev (Рахат Джумаев),571.0,105.0,132.0,53.0,17.0,3.0,2.0,2.0,48.0,4.0,18.0,115.0,54.0,18.0
137.0,Rasul Usupbekov (Расул Усупбеков),573.0,107.0,132.0,53.0,17.0,3.0,2.0,2.0,48.0,4.0,18.0,115.0,54.0,18.0
138.0,Alisher Abdunabi (Алишер Абдунаби),575.0,139.0,102.0,53.0,17.0,3.0,2.0,2.0,48.0,4.0,18.0,115.0,54.0,18.0
139.0,Kairat Tolubaev,576.0,180.0,62.0,53.0,17.0,3.0,2.0,2.0,48.0,4.0,18.0,115.0,54.0,18.0
139.0,Janbolot Akmataliev (Жанболот Акматалиев),576.0,143.0,122.0,53.0,17.0,3.0,2.0,2.0,48.0,4.0,18.0,92.0,54.0,18.0
141.0,Bekjan Mahmudov (Бекжан Махмудов),578.0,165.0,129.0,53.0,17.0,3.0,2.0,2.0,48.0,4.0,18.0,65.0,54.0,18.0
142.0,Aidar Akapov (Айдар Акапов),579.0,126.0,125.0,53.0,17.0,3.0,2.0,2.0,48.0,4.0,18.0,109.0,54.0,18.0
