Rank,name,Sum,333,222,444,555,666,777,333fm,333oh,clock,minx,pyram,skewb,sq1
78.0,Prashiddha Thapa,580.0,129.0,67.0,60.0,21.0,7.0,4.0,8.0,82.0,9.0,18.0,84.0,70.0,21.0
79.0,Prasanna Rajbhandary,584.0,28.0,184.0,62.0,21.0,7.0,4.0,8.0,31.0,9.0,18.0,135.0,70.0,7.0
80.0,Pratyush Karki,592.0,82.0,63.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,135.0,70.0,21.0
81.0,Jayson Shrestha,595.0,84.0,64.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,135.0,70.0,21.0
82.0,Phuntsok Dorjee Lama,596.0,172.0,84.0,49.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,41.0,70.0,21.0
83.0,Adarsh Lalchan,597.0,54.0,96.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,135.0,70.0,21.0
84.0,Aryav Karki,598.0,120.0,119.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,47.0,70.0,21.0
84.0,Bikram Kumar Baishya,598.0,30.0,184.0,62.0,21.0,7.0,4.0,8.0,29.0,9.0,18.0,135.0,70.0,21.0
86.0,Rojan Shrestha,600.0,44.0,184.0,42.0,21.0,7.0,4.0,8.0,37.0,9.0,18.0,135.0,70.0,21.0
86.0,Alin Shrestha,600.0,110.0,60.0,45.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,135.0,70.0,21.0
88.0,Aayush Ranjit,602.0,161.0,130.0,62.0,21.0,7.0,4.0,8.0,91.0,9.0,18.0,61.0,9.0,21.0
89.0,Dipak Nepal,604.0,115.0,82.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,117.0,48.0,21.0
90.0,Sakshyam Sigdel,606.0,93.0,66.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,135.0,70.0,21.0
91.0,Biraj Sapkota,609.0,168.0,101.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,28.0,70.0,21.0
92.0,Ishreya Manandhar,611.0,85.0,184.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,30.0,70.0,21.0
93.0,Kshitiz Jha,612.0,128.0,107.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,93.0,42.0,21.0
94.0,Samip Bhattarai,613.0,88.0,86.0,62.0,21.0,7.0,4.0,8.0,92.0,1.0,18.0,135.0,70.0,21.0
