Rank,name,Sum,333,222,444,555,666,777,333oh,clock,minx,pyram,skewb,sq1
102.0,Adnan Eminov,503.0,104.0,115.0,36.0,14.0,5.0,3.0,58.0,4.0,25.0,73.0,54.0,12.0
102.0,Aydın Muştaqov,503.0,111.0,115.0,36.0,14.0,5.0,3.0,58.0,4.0,25.0,86.0,34.0,12.0
104.0,Rashid Huseyn,506.0,57.0,115.0,36.0,14.0,5.0,3.0,58.0,4.0,25.0,123.0,54.0,12.0
105.0,Bayram Məlikli,509.0,60.0,115.0,36.0,14.0,5.0,3.0,58.0,4.0,25.0,123.0,54.0,12.0
106.0,Afgan Kamilov,510.0,61.0,115.0,36.0,14.0,5.0,3.0,58.0,4.0,25.0,123.0,54.0,12.0
106.0,Revan Ismayilov,510.0,124.0,115.0,36.0,14.0,5.0,3.0,58.0,4.0,25.0,60.0,54.0,12.0
108.0,Rauf Eyvazov,512.0,155.0,107.0,36.0,14.0,5.0,3.0,58.0,4.0,20.0,44.0,54.0,12.0
109.0,Kənan Ruintan,513.0,64.0,115.0,36.0,14.0,5.0,3.0,58.0,4.0,25.0,123.0,54.0,12.0
110.0,Sebastian Yegorov,515.0,176.0,81.0,36.0,14.0,5.0,3.0,58.0,4.0,25.0,47.0,54.0,12.0
111.0,Mustafa Hajiyev,516.0,76.0,115.0,27.0,14.0,5.0,3.0,58.0,4.0,25.0,123.0,54.0,12.0
112.0,Rəna Sərabi,517.0,132.0,115.0,36.0,14.0,5.0,3.0,58.0,4.0,25.0,59.0,54.0,12.0
113.0,Fidan Nabiyeva,518.0,87.0,115.0,36.0,14.0,5.0,3.0,58.0,4.0,7.0,123.0,54.0,12.0
114.0,Ali Heybatov,524.0,128.0,115.0,36.0,14.0,5.0,3.0,58.0,4.0,21.0,103.0,25.0,12.0
115.0,Emil Hasanli,525.0,130.0,75.0,36.0,14.0,5.0,3.0,58.0,4.0,25.0,123.0,40.0,12.0
116.0,Kenan Mammedli,526.0,155.0,115.0,36.0,14.0,5.0,3.0,40.0,4.0,25.0,63.0,54.0,12.0
117.0,Kenan Kerimzade,528.0,109.0,85.0,36.0,14.0,5.0,3.0,58.0,4.0,25.0,123.0,54.0,12.0
117.0,Həcər Xəlilova,528.0,107.0,87.0,36.0,14.0,5.0,3.0,58.0,4.0,25.0,123.0,54.0,12.0
119.0,Fuad Məmmədzadə,530.0,81.0,115.0,36.0,14.0,5.0,3.0,58.0,4.0,25.0,123.0,54.0,12.0
120.0,Hikmet Kerimov,531.0,82.0,115.0,36.0,14.0,5.0,3.0,58.0,4.0,25.0,123.0,54.0,12.0
121.0,Səfər Qaraş,532.0,115.0,115.0,36.0,14.0,5.0,3.0,43.0,4.0,25.0,106.0,54.0,12.0
122.0,Sumbat Gozelov,533.0,84.0,115.0,36.0,14.0,5.0,3.0,58.0,4.0,25.0,123.0,54.0,12.0
123.0,Mikayıl Kərimli,534.0,148.0,103.0,36.0,14.0,5.0,3.0,58.0,4.0,25.0,72.0,54.0,12.0
124.0,Cavid Əliyev,535.0,86.0,115.0,36.0,14.0,5.0,3.0,58.0,4.0,25.0,123.0,54.0,12.0
124.0,Toğrul Quliyev,535.0,167.0,77.0,36.0,14.0,5.0,3.0,58.0,4.0,25.0,92.0,42.0,12.0
126.0,Elchin Gadirov,537.0,88.0,115.0,36.0,14.0,5.0,3.0,58.0,4.0,25.0,123.0,54.0,12.0
127.0,Telman Eyvazov,541.0,92.0,115.0,36.0,14.0,5.0,3.0,58.0,4.0,25.0,123.0,54.0,12.0
