Rank,name,Sum,333,222,444,555,666,777,333bf,333oh,clock,minx,pyram,skewb,sq1
72.0,Marcelo Adrian Hernández Lagos,373.0,70.0,50.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
73.0,Miguel Mejía Oviedo,376.0,36.0,105.0,48.0,10.0,4.0,3.0,3.0,23.0,5.0,20.0,77.0,33.0,9.0
74.0,Gabriel Alejandro Obando Gonzalez,380.0,62.0,65.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
75.0,Jesus Alberto Henriquez Garay,381.0,80.0,77.0,45.0,10.0,4.0,3.0,3.0,41.0,5.0,19.0,52.0,33.0,9.0
76.0,Jacobo Oyuela Velásquez,382.0,87.0,105.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,28.0,19.0,9.0
77.0,Emily Daniela Chavez Hernandez,389.0,106.0,73.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,34.0,33.0,9.0
78.0,Diego Fernando Rivera Mejía,390.0,32.0,105.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
78.0,Leony Yu Way,390.0,89.0,87.0,47.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,43.0,29.0,9.0
80.0,Daniel Alberto Cevallos Reyes,391.0,33.0,105.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
81.0,Juan Diego Pineda Galindo,394.0,84.0,57.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
82.0,Kenneth David Rodríguez Pavón,399.0,83.0,105.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,35.0,33.0,9.0
83.0,Jaffet Gustavo Gaekel Coello,400.0,73.0,105.0,48.0,10.0,4.0,3.0,3.0,31.0,5.0,20.0,77.0,12.0,9.0
84.0,Kenneth Jair Guevara Chevez,403.0,79.0,72.0,48.0,10.0,4.0,3.0,3.0,40.0,5.0,20.0,77.0,33.0,9.0
84.0,Jonathan Ricardo Romero Turcios,403.0,99.0,105.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,33.0,23.0,9.0
