Rank,name,Sum,333,222,444,555,666,777,333oh,clock,minx,pyram,skewb,sq1
66.0,Moataz Mohammed,332.0,101.0,76.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,34.0,31.0,8.0
68.0,Fares Mohamed Hassan Mohamed,337.0,83.0,84.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,49.0,31.0,8.0
69.0,Abdallah Khaled Omar,339.0,65.0,63.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
70.0,Rami Hennawi,340.0,36.0,175.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,22.0,17.0,8.0
71.0,Ahmed Reda Alhossini,343.0,99.0,33.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
72.0,Ali Shadi,349.0,98.0,68.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,62.0,31.0,8.0
73.0,Mostafa Hani Mahmoud,350.0,84.0,55.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
74.0,Yassin Ali,351.0,49.0,91.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
75.0,Adam Ahmed Sayed Hassan Abdelaal,355.0,56.0,88.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
76.0,Amr Ramadan,360.0,67.0,98.0,21.0,7.0,7.0,4.0,14.0,4.0,9.0,90.0,31.0,8.0
77.0,Ahmed Ibrahim,361.0,73.0,77.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
78.0,Omar Mohamed Said Mohamed Hassan Elgammal,364.0,97.0,58.0,24.0,7.0,7.0,4.0,25.0,4.0,9.0,90.0,31.0,8.0
79.0,Salma Yasser Abdelmageed,365.0,111.0,97.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,55.0,12.0,8.0
80.0,Bakr Eltabbal,366.0,96.0,59.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
81.0,Deniel Daoud,369.0,86.0,72.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
82.0,Mario Ramez Wafik,370.0,80.0,123.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,46.0,31.0,8.0
83.0,Ali Khaled Gamaleldin,373.0,77.0,85.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
84.0,Hamza Nader,374.0,88.0,75.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
85.0,Essam Thabet,377.0,85.0,81.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
86.0,Adam Abdelmonem Assem Refaat,379.0,108.0,86.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,64.0,31.0,8.0
87.0,Youssef Farid Adly Farid,395.0,9.0,175.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
88.0,Ramy Ali Okda,399.0,109.0,79.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
88.0,Yahia Amr Mazyad,399.0,79.0,175.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,40.0,15.0,8.0
90.0,Mohamed Hany,401.0,121.0,78.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,81.0,31.0,8.0
90.0,Hazem Yahia Mahmoud Essawi,401.0,25.0,175.0,14.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
92.0,Adham Emad Abdelaziz,403.0,105.0,87.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
93.0,Yousef Ibrahim Mohamed,404.0,126.0,99.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,58.0,31.0,8.0
94.0,Norhan Hany Gamal Mahmoud Sharaf,407.0,143.0,89.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,54.0,31.0,8.0
