Rank,name,Sum,333,222,444,555,666,777,333fm,333oh,clock,minx,pyram,skewb,sq1
63.0,Alex Minasyan (Ալեքս Մինասյան),284.0,75.0,40.0,24.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,51.0,19.0,7.0
66.0,Gor Ayunts,285.0,51.0,60.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,55.0,19.0,7.0
66.0,Raffi Manukyan (Րաֆֆի Մանուկյան),285.0,55.0,60.0,25.0,10.0,4.0,2.0,2.0,28.0,7.0,11.0,55.0,19.0,7.0
68.0,David Azizyan,287.0,69.0,44.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,55.0,19.0,7.0
69.0,Hayk Grigoryan,289.0,79.0,60.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,31.0,19.0,7.0
70.0,Erik Mkhoyan (Эрик Мхоян),290.0,56.0,60.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,55.0,19.0,7.0
71.0,Vahe Aghumyan (Վահե Աղումյան),291.0,57.0,60.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,55.0,19.0,7.0
72.0,Razmik Matevosyan,292.0,77.0,46.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,50.0,19.0,7.0
73.0,Arno Avetisyan,295.0,61.0,60.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,55.0,19.0,7.0
74.0,Aren Tigranyan,297.0,68.0,56.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,54.0,19.0,7.0
75.0,Gagik Areyan,298.0,64.0,60.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,55.0,19.0,7.0
76.0,Ruben Sargsyan,299.0,65.0,60.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,55.0,19.0,7.0
77.0,Sona Nersisyan,300.0,72.0,60.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,49.0,19.0,7.0
