Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,333mbf
72.0,Aggelos Michailidis,886.0,100.0,107.0,64.0,92.0,33.0,26.0,14.0,33.0,60.0,56.0,77.0,70.0,114.0,38.0,2.0
73.0,Panagiotis Vagdoutis,890.0,76.0,28.0,74.0,55.0,33.0,26.0,20.0,33.0,107.0,56.0,77.0,151.0,114.0,38.0,2.0
74.0,Dimitris Amarantidis (Δημήτρης Αμαραντίδης),891.0,61.0,32.0,20.0,40.0,33.0,26.0,20.0,33.0,74.0,56.0,77.0,265.0,114.0,38.0,2.0
75.0,Nikolas Belalidis,902.0,26.0,75.0,185.0,92.0,21.0,18.0,20.0,33.0,144.0,56.0,13.0,65.0,114.0,38.0,2.0
76.0,Ioannis Vasilakis,903.0,229.0,4.0,130.0,92.0,33.0,26.0,20.0,33.0,122.0,20.0,77.0,52.0,25.0,38.0,2.0
77.0,Kostas Papadopoulos,933.0,113.0,110.0,69.0,37.0,26.0,22.0,20.0,23.0,73.0,52.0,63.0,216.0,69.0,38.0,2.0
78.0,Dimitris Anastasiadis (Δημήτρης Αναστασιάδης),939.0,86.0,93.0,134.0,92.0,33.0,26.0,20.0,28.0,109.0,7.0,77.0,101.0,93.0,38.0,2.0
79.0,Nikos Michalopoulos,940.0,88.0,77.0,142.0,92.0,33.0,26.0,17.0,33.0,88.0,56.0,77.0,57.0,114.0,38.0,2.0
80.0,Georgios Evangelaras,947.0,165.0,44.0,110.0,62.0,30.0,26.0,20.0,31.0,118.0,48.0,51.0,150.0,76.0,14.0,2.0
81.0,Petros Dimitrentsis,954.0,115.0,85.0,67.0,31.0,33.0,26.0,20.0,33.0,95.0,56.0,77.0,162.0,114.0,38.0,2.0
82.0,Mario Kadhaj,957.0,74.0,55.0,27.0,92.0,33.0,26.0,20.0,33.0,45.0,56.0,77.0,265.0,114.0,38.0,2.0
83.0,Dimitris Tiktapanidis,960.0,99.0,71.0,121.0,85.0,33.0,26.0,20.0,33.0,144.0,56.0,77.0,119.0,57.0,17.0,2.0
84.0,Anthony Mattheou,961.0,160.0,119.0,76.0,52.0,33.0,26.0,20.0,33.0,66.0,56.0,54.0,112.0,114.0,38.0,2.0
85.0,Christos Dokimakis,963.0,213.0,37.0,107.0,92.0,33.0,26.0,20.0,33.0,144.0,56.0,44.0,48.0,70.0,38.0,2.0
86.0,Anastasios Michaleas,967.0,64.0,69.0,125.0,92.0,33.0,26.0,20.0,33.0,144.0,56.0,77.0,160.0,28.0,38.0,2.0
87.0,Antonis Fourfaro (Αντώνης Φουρφαρο),974.0,200.0,50.0,185.0,61.0,33.0,26.0,6.0,33.0,41.0,56.0,77.0,52.0,114.0,38.0,2.0
88.0,Theocharis Karastamatis,975.0,42.0,95.0,139.0,92.0,33.0,26.0,20.0,29.0,106.0,56.0,77.0,106.0,114.0,38.0,2.0
89.0,Konstantinos Charizopoulos,976.0,51.0,129.0,31.0,54.0,33.0,26.0,20.0,33.0,144.0,56.0,77.0,222.0,60.0,38.0,2.0
90.0,Ilias Nikolaou (Ηλίας Νικολάου),981.0,49.0,102.0,60.0,92.0,33.0,26.0,20.0,33.0,14.0,56.0,77.0,265.0,114.0,38.0,2.0
91.0,Charalampos Aspiotis,987.0,142.0,65.0,185.0,92.0,33.0,26.0,20.0,33.0,144.0,56.0,77.0,25.0,49.0,38.0,2.0
92.0,Konstantinos Argyros,988.0,157.0,160.0,90.0,92.0,33.0,26.0,20.0,33.0,55.0,56.0,77.0,134.0,15.0,38.0,2.0
93.0,Orion Elafros,989.0,129.0,197.0,124.0,46.0,29.0,21.0,20.0,33.0,108.0,56.0,64.0,78.0,44.0,38.0,2.0
94.0,Anastasios Lazarakis,1011.0,71.0,152.0,95.0,92.0,33.0,26.0,20.0,33.0,144.0,31.0,77.0,110.0,114.0,11.0,2.0
95.0,Alexandros Gakis,1013.0,222.0,35.0,128.0,92.0,33.0,26.0,20.0,33.0,144.0,56.0,77.0,60.0,47.0,38.0,2.0
96.0,Filippos Nastas,1017.0,147.0,80.0,185.0,92.0,33.0,26.0,20.0,33.0,90.0,56.0,77.0,84.0,54.0,38.0,2.0
97.0,Dionisios Theologis,1030.0,178.0,39.0,185.0,92.0,33.0,26.0,20.0,33.0,105.0,56.0,75.0,102.0,46.0,38.0,2.0
98.0,Dimitris Paliatsoudis,1042.0,140.0,151.0,92.0,92.0,33.0,26.0,20.0,33.0,144.0,56.0,77.0,24.0,114.0,38.0,2.0
98.0,Perros Tseronis (Πέρρος Τσερώνης),1042.0,104.0,107.0,91.0,92.0,33.0,26.0,20.0,33.0,144.0,56.0,77.0,105.0,114.0,38.0,2.0
100.0,Aggelos Sabbopoulos,1045.0,110.0,44.0,109.0,92.0,33.0,26.0,20.0,17.0,83.0,56.0,36.0,265.0,114.0,38.0,2.0
101.0,Sotiris Kakos,1046.0,141.0,73.0,185.0,92.0,33.0,26.0,20.0,33.0,127.0,56.0,76.0,30.0,114.0,38.0,2.0
102.0,Grigorios Kamenidis,1064.0,87.0,140.0,98.0,92.0,33.0,26.0,20.0,33.0,112.0,56.0,77.0,145.0,114.0,29.0,2.0
103.0,Dimitris Pavlou,1070.0,90.0,123.0,85.0,92.0,33.0,26.0,20.0,33.0,16.0,56.0,77.0,265.0,114.0,38.0,2.0
