Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,333mbf
103.0,Raí Monteiro,653.0,123.0,94.0,83.0,33.0,12.0,8.0,12.0,10.0,69.0,11.0,28.0,82.0,49.0,32.0,2.0,5.0
103.0,Gabriel Barrocas,653.0,100.0,114.0,91.0,33.0,12.0,8.0,12.0,10.0,69.0,11.0,28.0,82.0,49.0,27.0,2.0,5.0
105.0,Hugo Fernandes,657.0,17.0,180.0,107.0,33.0,12.0,8.0,12.0,10.0,69.0,11.0,28.0,82.0,49.0,32.0,2.0,5.0
106.0,Gabriel Vieira,661.0,129.0,99.0,92.0,33.0,12.0,8.0,12.0,10.0,69.0,11.0,28.0,70.0,49.0,32.0,2.0,5.0
107.0,João Guerreiro,663.0,170.0,111.0,89.0,33.0,12.0,8.0,12.0,10.0,69.0,11.0,28.0,51.0,20.0,32.0,2.0,5.0
108.0,Afonso de Almeida Gouveia,664.0,80.0,180.0,51.0,33.0,12.0,8.0,12.0,10.0,69.0,11.0,28.0,82.0,49.0,32.0,2.0,5.0
109.0,Ângelo Gabriel Ferreira Pedrosa,665.0,115.0,90.0,107.0,33.0,12.0,8.0,12.0,10.0,69.0,11.0,28.0,82.0,49.0,32.0,2.0,5.0
109.0,Ana Lopes,665.0,171.0,87.0,107.0,33.0,12.0,8.0,12.0,10.0,69.0,11.0,28.0,32.0,46.0,32.0,2.0,5.0
111.0,Samuel Gomes Pereira,666.0,65.0,180.0,100.0,33.0,12.0,8.0,12.0,10.0,52.0,11.0,28.0,82.0,34.0,32.0,2.0,5.0
112.0,José Luis Adrião,671.0,140.0,139.0,61.0,29.0,12.0,8.0,12.0,10.0,56.0,11.0,24.0,81.0,49.0,32.0,2.0,5.0
113.0,Afonso Mendes,672.0,127.0,85.0,107.0,33.0,12.0,8.0,12.0,10.0,69.0,11.0,28.0,82.0,49.0,32.0,2.0,5.0
113.0,Tiago Alexandre Afonso Vargas Cameirinha,672.0,135.0,77.0,107.0,33.0,12.0,8.0,12.0,10.0,69.0,11.0,28.0,82.0,49.0,32.0,2.0,5.0
115.0,Rafael Rocha,673.0,101.0,180.0,63.0,33.0,12.0,8.0,12.0,10.0,66.0,11.0,28.0,61.0,49.0,32.0,2.0,5.0
115.0,Radjon Haque,673.0,84.0,180.0,56.0,33.0,12.0,8.0,12.0,10.0,69.0,11.0,28.0,82.0,49.0,32.0,2.0,5.0
117.0,João Miao,679.0,117.0,102.0,107.0,33.0,12.0,8.0,12.0,10.0,69.0,11.0,28.0,82.0,49.0,32.0,2.0,5.0
118.0,Maria Barata de Tovar,683.0,150.0,126.0,107.0,33.0,12.0,8.0,12.0,10.0,69.0,11.0,28.0,29.0,49.0,32.0,2.0,5.0
119.0,Margarida Coelho,685.0,116.0,180.0,107.0,33.0,12.0,8.0,12.0,10.0,69.0,11.0,28.0,11.0,49.0,32.0,2.0,5.0
120.0,Martim Francisco de Oliveira Carvalho,686.0,46.0,180.0,107.0,33.0,12.0,8.0,12.0,10.0,69.0,11.0,28.0,82.0,49.0,32.0,2.0,5.0
121.0,Alexandre Carapeto,687.0,104.0,123.0,107.0,33.0,12.0,8.0,12.0,10.0,69.0,11.0,28.0,82.0,49.0,32.0,2.0,5.0
121.0,Tomás Barbosa Marques,687.0,155.0,110.0,107.0,33.0,12.0,8.0,12.0,10.0,69.0,11.0,28.0,44.0,49.0,32.0,2.0,5.0
