Rank,name,Sum,333,222,444,555,666,777,333fm,333oh,clock,minx,pyram,skewb,sq1
62.0,Filippos Xenophontos,426.0,85.0,72.0,48.0,18.0,7.0,4.0,2.0,41.0,24.0,11.0,59.0,43.0,12.0
64.0,Soteris Hadjimichael,427.0,82.0,67.0,44.0,18.0,7.0,4.0,2.0,41.0,24.0,21.0,52.0,53.0,12.0
65.0,George Hajisavva,429.0,71.0,76.0,39.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,56.0,53.0,12.0
66.0,Andreas Koutroupis,431.0,27.0,113.0,53.0,18.0,7.0,4.0,2.0,24.0,24.0,26.0,68.0,53.0,12.0
67.0,Euripides Christofides,435.0,65.0,33.0,53.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,97.0,53.0,12.0
68.0,Leonidas Loizides,437.0,95.0,68.0,53.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,34.0,53.0,12.0
69.0,Nikolas Charitonodis,442.0,54.0,64.0,53.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,97.0,40.0,12.0
70.0,Vasilis Demetriou,448.0,75.0,64.0,53.0,18.0,7.0,4.0,2.0,34.0,24.0,26.0,76.0,53.0,12.0
71.0,Antreas Panagi,449.0,109.0,83.0,53.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,17.0,53.0,12.0
71.0,Vasilis Ellinas,449.0,74.0,54.0,53.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,81.0,53.0,12.0
73.0,Gavriel Panayiotou,454.0,43.0,74.0,53.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,97.0,53.0,12.0
73.0,Panayiotis Louca,454.0,143.0,60.0,53.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,11.0,53.0,12.0
75.0,Valandis Michael,457.0,76.0,113.0,53.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,28.0,53.0,12.0
75.0,Ioannis Demosthenous,457.0,45.0,75.0,53.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,97.0,53.0,12.0
77.0,Marios Avraamides,458.0,59.0,62.0,53.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,97.0,53.0,12.0
78.0,Andreanos Kyriakides,459.0,86.0,36.0,53.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,97.0,53.0,12.0
79.0,Andreas Tziapouras,460.0,66.0,113.0,53.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,41.0,53.0,12.0
79.0,Christos Kythreotis,460.0,69.0,73.0,43.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,97.0,44.0,12.0
81.0,Michalis Antoniou,465.0,78.0,63.0,40.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,97.0,53.0,12.0
82.0,Kyriakos Nikoletti,466.0,68.0,61.0,53.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,97.0,53.0,12.0
83.0,Stylianos Georgiou,473.0,120.0,86.0,53.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,50.0,30.0,12.0
83.0,Panagiotis Pissaridis,473.0,111.0,59.0,53.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,63.0,53.0,12.0
85.0,Ioannis Stavrou,479.0,94.0,90.0,53.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,55.0,53.0,12.0
85.0,Konstantinos Loizidis,479.0,57.0,85.0,53.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,97.0,53.0,12.0
85.0,Constantinos Levas,479.0,61.0,81.0,53.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,97.0,53.0,12.0
88.0,Liam Harpaz,480.0,100.0,51.0,53.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,89.0,53.0,12.0
89.0,Ioannis Yiannakou,486.0,108.0,98.0,53.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,40.0,53.0,12.0
90.0,Nour Magdy,487.0,117.0,82.0,49.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,54.0,51.0,12.0
91.0,Erik Sophocleous,488.0,38.0,113.0,53.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,97.0,53.0,12.0
92.0,Andros Kyprianou,495.0,123.0,78.0,53.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,62.0,45.0,12.0
93.0,Emmanuel Emmanuel,498.0,73.0,113.0,53.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,72.0,53.0,12.0
94.0,Emmanuel Onisiforides,500.0,50.0,113.0,53.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,97.0,53.0,12.0
95.0,Panayiotis Stavrou,501.0,51.0,113.0,53.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,97.0,53.0,12.0
96.0,Demetris Michael,502.0,96.0,69.0,53.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,97.0,53.0,12.0
96.0,Orestis Krashias,502.0,84.0,87.0,47.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,97.0,53.0,12.0
98.0,Andreas Paraskevas,506.0,143.0,26.0,53.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,97.0,53.0,12.0
99.0,Lavi Nazim Atik,509.0,115.0,91.0,53.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,69.0,47.0,12.0
99.0,Orestis Christofi,509.0,105.0,99.0,53.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,77.0,41.0,12.0
99.0,George Eleftheriou,509.0,129.0,105.0,53.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,35.0,53.0,12.0
102.0,Antreas Antoniou,516.0,79.0,100.0,53.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,97.0,53.0,12.0
103.0,Christos Papaioakim,517.0,91.0,113.0,53.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,73.0,53.0,12.0
103.0,Marinos Antoniou,517.0,121.0,79.0,51.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,79.0,53.0,12.0
105.0,Michaella Georgiou,518.0,72.0,113.0,53.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,97.0,49.0,12.0
105.0,Charalambos Sarris,518.0,93.0,88.0,53.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,97.0,53.0,12.0
107.0,Stavros Pavlou,519.0,102.0,103.0,53.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,74.0,53.0,12.0
108.0,Petros Kitazos,520.0,83.0,113.0,53.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,84.0,53.0,12.0
109.0,Michalis Georgiadis,526.0,88.0,101.0,53.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,97.0,53.0,12.0
110.0,Aris Hadjikyriakos,527.0,89.0,113.0,53.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,85.0,53.0,12.0
110.0,Harvey Constanti-Smith,527.0,107.0,97.0,53.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,88.0,48.0,12.0
112.0,Sofoklis Kyriakou,529.0,126.0,77.0,42.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,97.0,53.0,12.0
113.0,Adel Mehmet Ekdal,530.0,128.0,104.0,53.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,58.0,53.0,12.0
114.0,Alexandros Ktoris,531.0,81.0,113.0,53.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,97.0,53.0,12.0
115.0,Efstathios Efstathiou,533.0,110.0,96.0,53.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,87.0,53.0,12.0
116.0,Stynos Antoniades,535.0,97.0,113.0,53.0,18.0,7.0,4.0,2.0,41.0,24.0,25.0,97.0,42.0,12.0
117.0,Michalis Michail,541.0,116.0,102.0,53.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,90.0,46.0,12.0
