Rank,name,Sum,333,222,444,555,666,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1
108.0,Nikoloz Tvauri,434.0,144.0,50.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,88.0,34.0,5.0
109.0,Nugzar Chkhaidze (ნუგზარ ჩხაიძე),435.0,133.0,82.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,68.0,34.0,5.0
109.0,Levan Chochnidze,435.0,111.0,84.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,88.0,34.0,5.0
111.0,Giorgi Nikoleishvili (გიორგი ნიკოლეიშვილი),436.0,161.0,113.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,10.0,34.0,5.0
111.0,Sandro Grdzelishvili,436.0,83.0,113.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,88.0,34.0,5.0
113.0,David Sebiskveradze,437.0,136.0,65.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,84.0,34.0,5.0
113.0,Nikoloz Papashvili (ნიკოლოზ პაპაშვილი),437.0,84.0,113.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,88.0,34.0,5.0
115.0,Nikoloz Sakaruli,438.0,121.0,77.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,88.0,34.0,5.0
115.0,Giorgi Tsiklauri (გიორგი წიკლაური),438.0,117.0,81.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,88.0,34.0,5.0
117.0,Andria Miqava,439.0,86.0,113.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,88.0,34.0,5.0
118.0,Gio Kikodze (გიო ქიქოძე),443.0,90.0,113.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,88.0,34.0,5.0
119.0,Teodore Mgaloblishvili,451.0,98.0,113.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,88.0,34.0,5.0
120.0,Maxime Makharadze,452.0,99.0,113.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,88.0,34.0,5.0
121.0,Aleksandre Meskhi,454.0,135.0,113.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,54.0,34.0,5.0
121.0,Megi Gviniashvili (მეგი ღვინიაშვილი),454.0,119.0,96.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,87.0,34.0,5.0
123.0,Andria Buzaladze,455.0,108.0,113.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,82.0,34.0,5.0
123.0,Cotne Meladze (ცოტნე მელაძე),455.0,102.0,113.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,88.0,34.0,5.0
123.0,Ana Barjadze,455.0,116.0,99.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,88.0,34.0,5.0
126.0,Revan Askarovi,457.0,161.0,113.0,37.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,33.0,34.0,5.0
127.0,Giorgi Iobashvili (გიორგი იობაშვილი),458.0,105.0,113.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,88.0,34.0,5.0
128.0,Aleksandre Muskheladze,461.0,143.0,88.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,78.0,34.0,5.0
129.0,Temiko Machavariani,462.0,109.0,113.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,88.0,34.0,5.0
130.0,Ana Papiashvili (ანა პაპიაშვილი),463.0,110.0,113.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,88.0,34.0,5.0
130.0,Luka Barbakadze,463.0,161.0,78.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,72.0,34.0,5.0
132.0,Sandro Nene Gelashvili,465.0,149.0,76.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,88.0,34.0,5.0
133.0,Andria Apinian,470.0,129.0,101.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,88.0,34.0,5.0
134.0,Giorgi Kadagishvili (გიორგი ქადაგიშვილი),471.0,161.0,113.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,45.0,34.0,5.0
135.0,Davit Gulua (დავით გულუა),473.0,120.0,113.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,88.0,34.0,5.0
136.0,Oto Makaradze,475.0,122.0,113.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,88.0,34.0,5.0
137.0,Giorgi Tavlalashvili,476.0,123.0,113.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,88.0,34.0,5.0
137.0,Nikoloz Kikadze,476.0,131.0,105.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,88.0,34.0,5.0
137.0,Daniel Zamtaradze,476.0,134.0,104.0,39.0,11.0,2.0,4.0,3.0,42.0,2.0,8.0,88.0,34.0,5.0
140.0,Anonymous,477.0,124.0,113.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,88.0,34.0,5.0
141.0,Mariam Chichiboshvili,478.0,125.0,113.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,88.0,34.0,5.0
