Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,333mbf
55.0,Juan Gonzalez,364.0,51.0,49.0,43.0,18.0,7.0,7.0,4.0,5.0,32.0,14.0,19.0,69.0,36.0,7.0,3.0
56.0,Vladimir Rodríguez,365.0,54.0,63.0,42.0,19.0,7.0,7.0,4.0,5.0,36.0,14.0,19.0,69.0,16.0,7.0,3.0
56.0,Ricardo Sanchez,365.0,64.0,41.0,47.0,19.0,7.0,7.0,4.0,5.0,42.0,14.0,19.0,69.0,17.0,7.0,3.0
56.0,Derek Ho,365.0,73.0,58.0,47.0,19.0,7.0,7.0,4.0,5.0,42.0,14.0,19.0,24.0,36.0,7.0,3.0
59.0,Jahir Bonilla,369.0,44.0,56.0,47.0,19.0,7.0,7.0,4.0,5.0,42.0,14.0,19.0,59.0,36.0,7.0,3.0
60.0,Roberto Ho Gan,373.0,104.0,26.0,47.0,19.0,7.0,7.0,4.0,5.0,42.0,14.0,19.0,33.0,36.0,7.0,3.0
61.0,Nilson Efrain Zhu Zhang,379.0,42.0,65.0,47.0,19.0,7.0,7.0,4.0,5.0,35.0,14.0,19.0,69.0,36.0,7.0,3.0
62.0,Jorge Pitti,386.0,71.0,88.0,47.0,19.0,7.0,7.0,4.0,5.0,40.0,14.0,19.0,19.0,36.0,7.0,3.0
63.0,Junior Cedeño,387.0,26.0,94.0,35.0,19.0,7.0,7.0,4.0,5.0,42.0,14.0,19.0,69.0,36.0,7.0,3.0
64.0,Humberto Edson Chong Loo,395.0,45.0,74.0,44.0,19.0,7.0,7.0,4.0,5.0,42.0,14.0,19.0,69.0,36.0,7.0,3.0
65.0,Omar Aguilar,400.0,84.0,67.0,47.0,19.0,7.0,7.0,4.0,5.0,42.0,14.0,19.0,39.0,36.0,7.0,3.0
65.0,Bryan Muñoz,400.0,27.0,94.0,47.0,19.0,7.0,7.0,4.0,5.0,42.0,14.0,19.0,69.0,36.0,7.0,3.0
67.0,José Regalado,402.0,77.0,46.0,47.0,19.0,7.0,7.0,4.0,5.0,42.0,14.0,19.0,69.0,36.0,7.0,3.0
68.0,Arturo Andrés Buckley Nieto,404.0,88.0,81.0,45.0,19.0,7.0,7.0,4.0,5.0,41.0,14.0,16.0,34.0,36.0,4.0,3.0
69.0,Javier Iván Pinilla Rodríguez,406.0,33.0,94.0,47.0,19.0,7.0,7.0,4.0,5.0,42.0,14.0,19.0,69.0,36.0,7.0,3.0
70.0,Derek Adrian González,408.0,68.0,72.0,47.0,19.0,7.0,7.0,4.0,5.0,42.0,14.0,19.0,58.0,36.0,7.0,3.0
71.0,Jorge Caballero,409.0,111.0,51.0,47.0,19.0,7.0,7.0,4.0,5.0,42.0,14.0,19.0,37.0,36.0,7.0,3.0
72.0,Ziad Ceballos,413.0,40.0,94.0,47.0,19.0,7.0,7.0,4.0,5.0,42.0,14.0,19.0,69.0,36.0,7.0,3.0
72.0,Jonatán Venegas,413.0,40.0,94.0,47.0,19.0,7.0,7.0,4.0,5.0,42.0,14.0,19.0,69.0,36.0,7.0,3.0
