Rank,name,Sum,333,222,444,555,666,777,333bf,333oh,clock,minx,pyram,skewb,sq1,444bf
125.0,Babatunde Iteoluwakishi,333.0,126.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,12.0,4.0,2.0
127.0,Umar Bamalli,335.0,127.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
127.0,Bibiire Ishola,335.0,136.0,40.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,28.0,11.0,4.0,2.0
129.0,Akobundu Peace Ebubechukwu,336.0,128.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
130.0,Awogbemi Ayomide Charles,337.0,129.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
131.0,Olutayo Bukunmi,338.0,130.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
132.0,Oghale Otobo,339.0,131.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
133.0,Adeyinka Ayotunde,340.0,132.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
134.0,Olaoluwa Raymond Coker,341.0,133.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
135.0,Ademigoke Raphael,342.0,134.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
136.0,Oyoma Kwakpovwe,343.0,135.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
137.0,Akinlade Abdulsamad Gbolahan,345.0,139.0,44.0,30.0,17.0,4.0,3.0,7.0,38.0,2.0,11.0,31.0,13.0,4.0,2.0
137.0,David Bob-Iwe,345.0,137.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
139.0,Ibrahim AbdulSalam,346.0,138.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
140.0,Oyediran Rereloluwa,348.0,140.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
140.0,Abdulrahman Ayomide Babalola,348.0,148.0,38.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,29.0,13.0,4.0,2.0
142.0,Shekoni John,349.0,141.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
143.0,Enameguono Gham Erhovwosere,350.0,142.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
144.0,Tunmininu Rabiu,351.0,143.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
145.0,Brian Scott-Emuakpor,352.0,147.0,41.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
145.0,Akang Alex,352.0,144.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
147.0,Nwankwo Chiadika,353.0,145.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
148.0,Olorunmade Ifeoluwa,354.0,146.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
149.0,Osobamiro Kingsley,357.0,149.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
150.0,Abioye Emmanuel,358.0,150.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
151.0,Alameen Balogun,359.0,151.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
152.0,Areola Tisefunmi,360.0,152.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
153.0,Onyegbu Chiamaka Elizabeth,361.0,153.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
154.0,Chimnonso Abah,362.0,154.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
155.0,Anyali Samantha Somtochukwu,363.0,155.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
156.0,Reagan Okoh,364.0,156.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
157.0,Fareed Faniyi,365.0,157.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
157.0,Abolade Yussuf,365.0,170.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,18.0,13.0,4.0,2.0
159.0,Adeleke Ayomide Oluwaseyi,366.0,158.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
160.0,Olalekan Baiyewunmi,367.0,159.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
161.0,David Hawkins,368.0,160.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
162.0,Abati Isaac Fikayo,369.0,161.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
162.0,Edomoh Jeremiah,369.0,162.0,43.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
164.0,Anjorin Oluwajare,370.0,170.0,36.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
165.0,Kemi Awe,371.0,163.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
166.0,Alawode Dan,372.0,164.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
167.0,Israel Ayeniberu,373.0,165.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
168.0,Ashraf Ahmed,374.0,166.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
169.0,Anthony Samuel,375.0,167.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
170.0,Alawode Othniel,376.0,168.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
171.0,Mustapha Umar,377.0,169.0,44.0,30.0,17.0,4.0,3.0,7.0,40.0,2.0,11.0,31.0,13.0,4.0,2.0
171.0,Omololu Kayode,377.0,170.0,44.0,30.0,17.0,4.0,3.0,7.0,39.0,2.0,11.0,31.0,13.0,4.0,2.0
