Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,333mbf
61.0,Daniel Djolchubekov (Даниел Жолчубеков),453.0,73.0,68.0,46.0,24.0,3.0,2.0,5.0,2.0,54.0,4.0,29.0,76.0,46.0,19.0,2.0
62.0,Esen Mamadaliev (Эсен Мамадалиев),462.0,14.0,55.0,77.0,24.0,3.0,2.0,5.0,2.0,54.0,4.0,29.0,117.0,55.0,19.0,2.0
63.0,Ilya Boldyrev (Илья Болдырев),466.0,79.0,85.0,77.0,24.0,3.0,2.0,5.0,2.0,54.0,4.0,29.0,65.0,16.0,19.0,2.0
64.0,Nikita Astionov,468.0,91.0,58.0,77.0,24.0,3.0,2.0,5.0,2.0,54.0,4.0,29.0,43.0,55.0,19.0,2.0
65.0,Aktan Amandukov (Актан Амандуков),471.0,63.0,93.0,77.0,24.0,3.0,2.0,5.0,2.0,25.0,4.0,29.0,68.0,55.0,19.0,2.0
66.0,Kubanychbek Saparov (Кубанычбек Сапаров),476.0,84.0,138.0,41.0,24.0,3.0,2.0,5.0,2.0,54.0,4.0,29.0,42.0,27.0,19.0,2.0
67.0,Alibek Sydygaliev (Алибек Сыдыгалиев),480.0,82.0,67.0,77.0,24.0,3.0,2.0,5.0,2.0,13.0,4.0,29.0,117.0,34.0,19.0,2.0
68.0,Aidar Amankulov (Айдар Аманкулов),481.0,46.0,42.0,77.0,24.0,3.0,2.0,5.0,2.0,54.0,4.0,29.0,117.0,55.0,19.0,2.0
69.0,Emir Nazarbekov (Эмир Назарбеков),482.0,110.0,72.0,65.0,24.0,3.0,2.0,5.0,2.0,52.0,4.0,29.0,58.0,35.0,19.0,2.0
70.0,Elmar Taalaibek Uulu (Элмар Таалайбек Уулу),486.0,86.0,78.0,77.0,24.0,3.0,2.0,5.0,2.0,54.0,4.0,29.0,46.0,55.0,19.0,2.0
71.0,Aidin Sabyrbekov (Айдин Сабырбеков),489.0,64.0,90.0,49.0,24.0,3.0,2.0,5.0,2.0,54.0,4.0,29.0,87.0,55.0,19.0,2.0
72.0,Ilhom Mabo (Ильхом Мабо),492.0,99.0,87.0,73.0,24.0,3.0,2.0,5.0,2.0,54.0,4.0,29.0,34.0,55.0,19.0,2.0
73.0,Rafis Saifulin,495.0,20.0,138.0,21.0,24.0,3.0,2.0,5.0,2.0,54.0,4.0,29.0,117.0,55.0,19.0,2.0
74.0,Aivar Jumakadyrov (Айвар Жумакадыров),505.0,113.0,84.0,77.0,24.0,3.0,2.0,5.0,2.0,54.0,4.0,29.0,45.0,42.0,19.0,2.0
75.0,Roman Astapov (Роман Астапов),508.0,124.0,61.0,77.0,24.0,3.0,2.0,5.0,2.0,54.0,4.0,29.0,47.0,55.0,19.0,2.0
75.0,Victoria Ko (Виктория Ко),508.0,62.0,53.0,77.0,24.0,3.0,2.0,5.0,2.0,54.0,4.0,29.0,117.0,55.0,19.0,2.0
