Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,333mbf
71.0,Alimaa Altantsooj (Алтанцоож Алимаа),726.0,100.0,37.0,98.0,51.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,98.0,123.0,24.0,2.0
72.0,Sainjargal Batmunkh,727.0,97.0,35.0,98.0,51.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,53.0,174.0,24.0,2.0
73.0,Sergelenbat Nymdorj,733.0,45.0,97.0,35.0,11.0,5.0,5.0,21.0,7.0,55.0,29.0,30.0,193.0,174.0,24.0,2.0
74.0,Temujin Batjargal,742.0,129.0,131.0,98.0,51.0,17.0,10.0,21.0,10.0,76.0,19.0,30.0,78.0,46.0,24.0,2.0
74.0,Baljinnyam Namsraijav (Намсрайжав Балжинням),742.0,139.0,76.0,98.0,51.0,17.0,10.0,21.0,10.0,65.0,29.0,30.0,130.0,40.0,24.0,2.0
76.0,Munkhtuvshin Gongor,748.0,133.0,71.0,98.0,51.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,2.0,174.0,24.0,2.0
77.0,Enkhtuvshin Enkh-Usukh,749.0,110.0,46.0,98.0,51.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,51.0,174.0,24.0,2.0
78.0,Munkhbat Bolortuya (Болортуяа Мөнхбат),758.0,96.0,81.0,77.0,51.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,60.0,174.0,24.0,2.0
79.0,Baasankhuu Bayarbat,761.0,106.0,95.0,98.0,51.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,96.0,96.0,24.0,2.0
80.0,Enkhbileg Amarzaya,766.0,162.0,80.0,67.0,51.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,16.0,174.0,21.0,2.0
81.0,Telmuun Nergui,774.0,112.0,155.0,98.0,51.0,17.0,10.0,21.0,10.0,76.0,24.0,30.0,114.0,48.0,6.0,2.0
82.0,Temuulen Tserendagva,776.0,24.0,9.0,18.0,21.0,17.0,10.0,21.0,10.0,12.0,29.0,30.0,551.0,10.0,12.0,2.0
83.0,Zoljargal Ganbaatar (Ганбаатар Золжаргал),794.0,72.0,50.0,98.0,51.0,17.0,10.0,9.0,10.0,76.0,29.0,30.0,142.0,174.0,24.0,2.0
84.0,Tuguldur Ulam-Undrakh,799.0,29.0,109.0,23.0,17.0,17.0,10.0,13.0,10.0,18.0,29.0,30.0,294.0,174.0,24.0,2.0
85.0,Azjargal Batbold,808.0,121.0,126.0,69.0,47.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,135.0,91.0,24.0,2.0
86.0,Khash-Erdene Perenleinaym,813.0,130.0,94.0,65.0,51.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,80.0,174.0,24.0,2.0
87.0,Dulguun Bat-Ireedui,817.0,125.0,91.0,98.0,51.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,148.0,85.0,24.0,2.0
87.0,Urnuun Enkhsaikhan,817.0,131.0,99.0,98.0,51.0,17.0,10.0,21.0,10.0,64.0,29.0,29.0,139.0,93.0,24.0,2.0
89.0,Saikhanbileg Tuvshinbat,820.0,201.0,127.0,98.0,51.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,67.0,57.0,24.0,2.0
90.0,Sukh-Erdene Mandakh,823.0,65.0,296.0,56.0,42.0,17.0,10.0,1.0,10.0,25.0,29.0,20.0,179.0,47.0,24.0,2.0
91.0,Duurenbayasgalan Bolortsetseg,824.0,185.0,92.0,98.0,51.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,121.0,58.0,24.0,2.0
92.0,Dorjnamjin Khatanbaatar,832.0,227.0,74.0,98.0,51.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,90.0,73.0,24.0,2.0
93.0,Davaasambuu Chadraabal,838.0,56.0,206.0,72.0,51.0,17.0,10.0,21.0,10.0,22.0,29.0,30.0,114.0,174.0,24.0,2.0
94.0,Sugarsuren Ganaa,862.0,53.0,104.0,98.0,51.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,163.0,174.0,24.0,2.0
95.0,Soyombo Ganbat (Ганбат Соёмбо),864.0,141.0,96.0,98.0,51.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,206.0,53.0,24.0,2.0
96.0,Enkh-Orchlon Yagaantsestseg (Ягаанцэцэг Энх-Орчлон),870.0,151.0,108.0,98.0,51.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,169.0,74.0,24.0,2.0
96.0,Battulga Batbayar,870.0,86.0,52.0,98.0,51.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,190.0,174.0,24.0,2.0
98.0,Gantogtokh Erdenetogtokh,883.0,128.0,120.0,98.0,51.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,93.0,174.0,24.0,2.0
99.0,Nomgun Khashbold,886.0,143.0,93.0,98.0,51.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,108.0,174.0,24.0,2.0
100.0,Egshiglen Naidanjid (Найданжид Эгшиглэн),892.0,150.0,145.0,98.0,51.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,55.0,174.0,24.0,2.0
101.0,Margad Erdeneshagai,902.0,192.0,100.0,98.0,51.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,145.0,97.0,24.0,2.0
102.0,Tsend-Ayush Dawaanyam,909.0,60.0,116.0,98.0,51.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,191.0,174.0,24.0,2.0
103.0,Nominzul Nemkhjargal,912.0,115.0,143.0,98.0,51.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,112.0,174.0,24.0,2.0
104.0,Munkh-Argun Batbayar,913.0,178.0,123.0,98.0,51.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,133.0,111.0,24.0,2.0
105.0,Enkhbayr Ikhbayar,915.0,227.0,81.0,76.0,51.0,17.0,10.0,21.0,10.0,70.0,29.0,30.0,122.0,145.0,24.0,2.0
105.0,Chinbishrelt Budzaya (Будзаяа Чинбишрэлт),915.0,124.0,144.0,98.0,51.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,105.0,174.0,24.0,2.0
107.0,Mungunshagai Altanshiree,919.0,62.0,168.0,43.0,25.0,17.0,10.0,10.0,10.0,76.0,29.0,30.0,275.0,138.0,24.0,2.0
108.0,Manal Amarsaihan (Амарсайхан Манал),920.0,12.0,64.0,13.0,9.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,551.0,52.0,24.0,2.0
109.0,Enkhjin Enkhbold,923.0,179.0,177.0,98.0,51.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,77.0,122.0,24.0,2.0
110.0,Chinguun Munkhbat (Мөнхбат Чингүүн),925.0,89.0,182.0,98.0,51.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,222.0,64.0,24.0,2.0
111.0,Bat-Erdene Bodisaikhan (Бодьсайхан Бат-Эрдэнэ),927.0,253.0,139.0,91.0,51.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,108.0,66.0,24.0,2.0
112.0,Amarsaikhan Ganbaatar,933.0,160.0,112.0,98.0,51.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,243.0,50.0,24.0,2.0
113.0,Murdorj Munguntuul (Мөнгөнтуул Мөрдорж),937.0,163.0,148.0,98.0,51.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,84.0,174.0,24.0,2.0
114.0,Uilstuguldur Battulga (Баттулга Үйлстөгөлдөр),938.0,219.0,202.0,98.0,51.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,120.0,29.0,24.0,2.0
115.0,Telmuun Gan-Erdene,940.0,195.0,89.0,98.0,51.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,114.0,174.0,24.0,2.0
116.0,Batkhuslen Batmandakh,944.0,207.0,145.0,98.0,51.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,50.0,174.0,24.0,2.0
117.0,Sunderya Lkham-Ochir,948.0,209.0,191.0,98.0,51.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,124.0,56.0,24.0,2.0
118.0,Tergel Ishjamts,951.0,183.0,124.0,98.0,51.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,213.0,63.0,24.0,2.0
119.0,Chingis Otgontugs (Отгонтөгс Чингис),955.0,180.0,138.0,98.0,51.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,95.0,174.0,24.0,2.0
120.0,Margaderdene Tumenjargal,957.0,167.0,178.0,98.0,51.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,70.0,174.0,24.0,2.0
121.0,Gantumur Badral,960.0,85.0,107.0,98.0,44.0,17.0,10.0,21.0,10.0,51.0,29.0,30.0,258.0,174.0,24.0,2.0
122.0,Enkhjargal Ulziinaran,961.0,80.0,136.0,66.0,51.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,235.0,174.0,24.0,2.0
123.0,Baasansuren Tserenbaatar,962.0,200.0,192.0,79.0,51.0,17.0,10.0,21.0,10.0,54.0,29.0,30.0,69.0,174.0,24.0,2.0
124.0,Temuulen Ayush,970.0,217.0,251.0,98.0,51.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,65.0,69.0,24.0,2.0
125.0,Nambar Sanjaa (Санжаа Намбар),979.0,308.0,150.0,98.0,51.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,88.0,65.0,24.0,2.0
126.0,Nasandelger Batchuluun,997.0,99.0,98.0,98.0,51.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,258.0,174.0,24.0,2.0
127.0,Munkh-Erdene Dashnyam,998.0,245.0,203.0,98.0,51.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,123.0,59.0,24.0,2.0
127.0,Amarbayasgalan Ariunbileg,998.0,177.0,166.0,98.0,51.0,17.0,10.0,21.0,10.0,61.0,29.0,30.0,128.0,174.0,24.0,2.0
127.0,Mendsaikhan Erdenetogtokh,998.0,98.0,116.0,55.0,38.0,17.0,10.0,21.0,10.0,47.0,29.0,30.0,327.0,174.0,24.0,2.0
130.0,Tumen-Ulzii Enkhtur (Энхтөр Түмэн-Өлзий),1002.0,222.0,163.0,98.0,51.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,75.0,174.0,24.0,2.0
131.0,Garid-Erdene Ariunbold,1007.0,255.0,230.0,96.0,51.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,54.0,102.0,24.0,2.0
132.0,Uchral Byambasuren,1010.0,205.0,205.0,98.0,51.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,58.0,174.0,24.0,2.0
133.0,Batsanaa Bilguun (Билгүүн Батсанаа),1013.0,203.0,153.0,98.0,51.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,139.0,150.0,24.0,2.0
134.0,Naran Burged,1017.0,176.0,141.0,75.0,40.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,215.0,151.0,24.0,2.0
135.0,Elbegbayar Martsaikhan,1021.0,173.0,129.0,98.0,51.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,247.0,104.0,24.0,2.0
136.0,Bayarsaikhan Munkhbaatar,1035.0,248.0,63.0,98.0,51.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,182.0,174.0,24.0,2.0
137.0,Byegarys Jandaulyet,1039.0,59.0,71.0,20.0,24.0,16.0,10.0,3.0,1.0,25.0,29.0,30.0,551.0,174.0,24.0,2.0
138.0,Tuguldur Mergensanaa,1040.0,173.0,147.0,98.0,51.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,268.0,84.0,24.0,2.0
139.0,Zunbileg Narantsetseg (Наранцэцэг Зөнбилэг),1042.0,297.0,170.0,98.0,51.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,33.0,174.0,24.0,2.0
140.0,Tergel Erdenebayar,1044.0,214.0,170.0,98.0,51.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,118.0,174.0,24.0,2.0
141.0,Ganjavkhaa Ganbat,1045.0,210.0,149.0,98.0,51.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,144.0,174.0,24.0,2.0
142.0,Tenuun Munkhbayar,1050.0,213.0,153.0,98.0,51.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,222.0,94.0,24.0,2.0
143.0,Soyombo Batsukh (Батсүх Соёмбо),1054.0,285.0,184.0,98.0,51.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,43.0,174.0,24.0,2.0
144.0,Enkhzul Erdenebaatar,1057.0,166.0,243.0,98.0,51.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,192.0,88.0,24.0,2.0
145.0,Bilguunzul Munkhbat (Мөнхбат Билгүүнзул),1059.0,117.0,150.0,98.0,51.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,334.0,90.0,24.0,2.0
146.0,Munhsaihan Battumur,1062.0,91.0,87.0,71.0,51.0,17.0,10.0,21.0,10.0,31.0,29.0,30.0,414.0,174.0,24.0,2.0
147.0,Chingim Sainduu (Сайндүү Чингим),1067.0,126.0,240.0,98.0,51.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,159.0,174.0,24.0,2.0
148.0,Nandinbileg Davaadorj,1082.0,314.0,140.0,98.0,51.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,127.0,133.0,24.0,2.0
149.0,Bat-Amirlan Myagmartsend,1092.0,280.0,192.0,98.0,51.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,170.0,82.0,24.0,2.0
150.0,Gunbileg Bilguun,1093.0,230.0,189.0,98.0,51.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,206.0,100.0,24.0,2.0
151.0,Gursan Choijinsuren,1094.0,212.0,185.0,98.0,51.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,220.0,109.0,24.0,2.0
152.0,Bilguunsaikhan Densmaa,1101.0,114.0,114.0,78.0,46.0,17.0,10.0,21.0,10.0,52.0,29.0,30.0,380.0,174.0,24.0,2.0
153.0,Bilguun Batjargal (Батжаргал Билгүүн),1104.0,121.0,132.0,98.0,51.0,17.0,10.0,21.0,10.0,76.0,29.0,30.0,309.0,174.0,24.0,2.0
