Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,333mbf
56.0,Ayman Hoque,703.0,44.0,115.0,88.0,64.0,25.0,17.0,19.0,17.0,132.0,2.0,59.0,63.0,42.0,12.0,2.0,2.0
57.0,Soyaib Mahmoud,710.0,72.0,78.0,84.0,64.0,25.0,17.0,19.0,17.0,89.0,7.0,59.0,96.0,46.0,33.0,2.0,2.0
57.0,Mohammad Dilwar Ali Alvee,710.0,113.0,94.0,144.0,64.0,25.0,17.0,19.0,11.0,47.0,7.0,6.0,95.0,32.0,32.0,2.0,2.0
59.0,Ashik Mahmud,711.0,53.0,46.0,105.0,64.0,25.0,17.0,19.0,17.0,49.0,7.0,59.0,93.0,120.0,33.0,2.0,2.0
60.0,Ramin Tasabbir Al Bashar,723.0,61.0,74.0,144.0,64.0,25.0,17.0,19.0,17.0,71.0,7.0,59.0,78.0,50.0,33.0,2.0,2.0
61.0,Tuneer Bagchi,727.0,127.0,38.0,31.0,64.0,25.0,17.0,19.0,17.0,107.0,7.0,59.0,148.0,46.0,18.0,2.0,2.0
62.0,Aaditya Sikder,729.0,75.0,16.0,80.0,64.0,25.0,17.0,17.0,1.0,119.0,7.0,23.0,234.0,14.0,33.0,2.0,2.0
63.0,Shams Abtahi Ishmam,730.0,30.0,84.0,110.0,64.0,25.0,17.0,8.0,17.0,18.0,7.0,59.0,234.0,20.0,33.0,2.0,2.0
64.0,Afif Asad Ruddraw,737.0,77.0,126.0,144.0,64.0,25.0,12.0,19.0,17.0,79.0,7.0,59.0,53.0,18.0,33.0,2.0,2.0
65.0,Md Ayad Hossain,738.0,70.0,13.0,45.0,64.0,25.0,17.0,19.0,17.0,52.0,7.0,18.0,234.0,120.0,33.0,2.0,2.0
66.0,Liyana Zaman,741.0,39.0,12.0,144.0,64.0,25.0,17.0,19.0,17.0,34.0,7.0,59.0,147.0,120.0,33.0,2.0,2.0
67.0,Siyam Sadman,747.0,10.0,81.0,8.0,4.0,18.0,17.0,19.0,17.0,116.0,7.0,59.0,234.0,120.0,33.0,2.0,2.0
68.0,Muhammad Nehan Yasjudan,749.0,29.0,39.0,37.0,64.0,25.0,17.0,19.0,17.0,203.0,7.0,59.0,76.0,120.0,33.0,2.0,2.0
69.0,SM Abeer Ullah,759.0,60.0,23.0,74.0,64.0,25.0,17.0,7.0,17.0,111.0,7.0,59.0,234.0,24.0,33.0,2.0,2.0
70.0,Sahaf Bin Asif,768.0,86.0,70.0,68.0,64.0,25.0,17.0,19.0,17.0,140.0,7.0,45.0,92.0,81.0,33.0,2.0,2.0
71.0,Labib Jahan,771.0,51.0,10.0,87.0,64.0,25.0,17.0,19.0,17.0,56.0,7.0,59.0,202.0,120.0,33.0,2.0,2.0
72.0,Md Tahsin Al Farhan Patwary,778.0,54.0,104.0,144.0,64.0,25.0,17.0,19.0,17.0,85.0,7.0,59.0,26.0,120.0,33.0,2.0,2.0
73.0,Niaz Rahman,790.0,117.0,91.0,53.0,64.0,25.0,17.0,19.0,17.0,83.0,7.0,59.0,81.0,120.0,33.0,2.0,2.0
74.0,Muhammad Tasvir Siddique,797.0,183.0,68.0,108.0,64.0,25.0,17.0,19.0,17.0,61.0,7.0,59.0,60.0,72.0,33.0,2.0,2.0
75.0,Talha Harun,800.0,81.0,82.0,144.0,64.0,25.0,17.0,19.0,17.0,35.0,7.0,59.0,93.0,120.0,33.0,2.0,2.0
76.0,Sadman Sakib,802.0,88.0,58.0,90.0,51.0,23.0,17.0,19.0,17.0,152.0,7.0,59.0,104.0,80.0,33.0,2.0,2.0
77.0,Sazid Uddin,803.0,109.0,121.0,49.0,64.0,25.0,17.0,11.0,17.0,97.0,7.0,59.0,84.0,120.0,19.0,2.0,2.0
78.0,Imran Rahman,807.0,83.0,3.0,22.0,20.0,25.0,17.0,19.0,17.0,144.0,7.0,59.0,234.0,120.0,33.0,2.0,2.0
79.0,Ilhan Ibne Ahmed,811.0,40.0,60.0,69.0,64.0,25.0,17.0,19.0,17.0,43.0,7.0,59.0,234.0,120.0,33.0,2.0,2.0
80.0,Rahik Wasif,812.0,128.0,55.0,48.0,64.0,25.0,17.0,19.0,17.0,92.0,7.0,59.0,234.0,10.0,33.0,2.0,2.0
81.0,Faiyaz Kamrul Khan,822.0,150.0,102.0,43.0,28.0,25.0,17.0,19.0,17.0,108.0,7.0,35.0,114.0,120.0,33.0,2.0,2.0
81.0,Elham Mubasshir Fahim,822.0,188.0,88.0,78.0,64.0,25.0,17.0,19.0,17.0,88.0,5.0,59.0,112.0,25.0,33.0,2.0,2.0
83.0,Muntazim Billah Nazif,823.0,89.0,29.0,144.0,64.0,25.0,17.0,19.0,17.0,121.0,7.0,59.0,75.0,120.0,33.0,2.0,2.0
84.0,Iftekhar Rahman,826.0,116.0,85.0,41.0,64.0,25.0,17.0,19.0,17.0,203.0,7.0,59.0,16.0,120.0,33.0,2.0,2.0
85.0,Shaikat Rahman Khan,828.0,44.0,40.0,86.0,64.0,25.0,17.0,19.0,17.0,59.0,7.0,59.0,234.0,120.0,33.0,2.0,2.0
86.0,Labib Al Hasan,836.0,174.0,44.0,144.0,64.0,25.0,17.0,19.0,17.0,138.0,7.0,59.0,57.0,34.0,33.0,2.0,2.0
86.0,Abdullah Al Fahad,836.0,74.0,63.0,144.0,64.0,25.0,17.0,19.0,15.0,15.0,7.0,59.0,177.0,120.0,33.0,2.0,2.0
88.0,Aqueeb Anjum Sunny,844.0,79.0,54.0,144.0,64.0,25.0,17.0,19.0,3.0,53.0,7.0,59.0,163.0,120.0,33.0,2.0,2.0
89.0,Mohammad Nashfiur Rahman Shifam,868.0,99.0,137.0,144.0,64.0,25.0,17.0,19.0,17.0,117.0,7.0,59.0,6.0,120.0,33.0,2.0,2.0
90.0,Zarif Hoque Sanju,869.0,153.0,64.0,144.0,64.0,25.0,17.0,19.0,17.0,125.0,7.0,59.0,87.0,51.0,33.0,2.0,2.0
91.0,Shehzad Aryan Hossain,877.0,58.0,49.0,62.0,64.0,25.0,17.0,19.0,17.0,109.0,7.0,59.0,234.0,120.0,33.0,2.0,2.0
92.0,Asif Afsar,879.0,111.0,90.0,144.0,64.0,25.0,17.0,6.0,17.0,6.0,7.0,59.0,176.0,120.0,33.0,2.0,2.0
93.0,Mohammad Ahsanul Mahbub Fahim,890.0,135.0,152.0,115.0,62.0,25.0,17.0,19.0,17.0,95.0,7.0,58.0,54.0,97.0,33.0,2.0,2.0
94.0,Mohammed Safaet Hossain,891.0,120.0,56.0,71.0,64.0,25.0,17.0,19.0,17.0,158.0,7.0,59.0,121.0,120.0,33.0,2.0,2.0
