Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,333mbf
75.0,Amir Reza Zargar Javaheri (امیر رضا زرگر جواهری),1045.0,119.0,210.0,25.0,12.0,6.0,3.0,33.0,39.0,153.0,36.0,48.0,259.0,70.0,21.0,2.0,9.0
76.0,Mohammad Reza Hosseinpoor (محمد رضا حسین پور),1047.0,52.0,156.0,146.0,123.0,26.0,22.0,33.0,47.0,108.0,36.0,59.0,71.0,134.0,23.0,2.0,9.0
77.0,Fateme Vosoughi (فاطمه وثوقی),1059.0,105.0,219.0,118.0,123.0,26.0,22.0,33.0,47.0,148.0,36.0,59.0,14.0,75.0,23.0,2.0,9.0
78.0,Erfan Dehghani (عرفان دهقانی),1063.0,17.0,90.0,17.0,123.0,26.0,22.0,33.0,47.0,18.0,36.0,59.0,407.0,134.0,23.0,2.0,9.0
78.0,Mohammad Motahari Nejad (محمد مطهری نژاد),1063.0,132.0,219.0,172.0,123.0,26.0,22.0,33.0,47.0,131.0,36.0,24.0,15.0,49.0,23.0,2.0,9.0
80.0,Mohammad Yahooei (محمد یاهویی),1065.0,8.0,107.0,29.0,123.0,26.0,22.0,27.0,47.0,6.0,36.0,59.0,407.0,134.0,23.0,2.0,9.0
81.0,Mohammad Zirak (محمد زیرک),1068.0,182.0,242.0,74.0,44.0,26.0,22.0,33.0,47.0,75.0,36.0,59.0,60.0,134.0,23.0,2.0,9.0
82.0,Arash Rajabi (آرش رجبی),1074.0,210.0,119.0,160.0,123.0,26.0,22.0,33.0,47.0,142.0,36.0,40.0,55.0,27.0,23.0,2.0,9.0
83.0,Parshad Mohammad Mehr (پرشاد محمد مهر),1084.0,59.0,77.0,107.0,123.0,26.0,22.0,33.0,47.0,264.0,36.0,59.0,145.0,52.0,23.0,2.0,9.0
84.0,Hooyar Mohajerani (هویار مهاجرانی),1086.0,149.0,51.0,47.0,123.0,14.0,22.0,33.0,47.0,264.0,36.0,59.0,73.0,134.0,23.0,2.0,9.0
85.0,Artin Gasivand (آرتین قصیوند),1089.0,146.0,86.0,104.0,123.0,26.0,22.0,33.0,47.0,79.0,36.0,59.0,160.0,134.0,23.0,2.0,9.0
86.0,Erfan Moradi (عرفان مرادی),1090.0,64.0,57.0,96.0,41.0,26.0,13.0,33.0,47.0,43.0,36.0,59.0,407.0,134.0,23.0,2.0,9.0
87.0,Mehdi Abbaszade (مهدی عباس زاده),1098.0,134.0,276.0,121.0,48.0,26.0,22.0,33.0,47.0,87.0,36.0,37.0,63.0,134.0,23.0,2.0,9.0
88.0,Kevin Marcalian (کوین مارکالیان),1100.0,41.0,137.0,44.0,28.0,26.0,10.0,33.0,20.0,264.0,36.0,1.0,407.0,19.0,23.0,2.0,9.0
89.0,Sepehr Mahboob Jeddi (سپهر محبوب جدی),1107.0,43.0,44.0,58.0,123.0,26.0,22.0,33.0,47.0,41.0,36.0,59.0,407.0,134.0,23.0,2.0,9.0
90.0,Mehdi Pourmotalleb (مهدی پورمطلب),1109.0,212.0,96.0,91.0,86.0,26.0,22.0,33.0,7.0,233.0,24.0,59.0,81.0,105.0,23.0,2.0,9.0
91.0,Amir Hossein Darabi (امیرحسین دارابی),1125.0,95.0,37.0,62.0,123.0,26.0,22.0,21.0,47.0,22.0,36.0,59.0,407.0,134.0,23.0,2.0,9.0
92.0,Mohammad Sadegh Zaeri (محمد صادق زائری),1128.0,130.0,77.0,120.0,123.0,26.0,22.0,33.0,47.0,86.0,36.0,59.0,201.0,134.0,23.0,2.0,9.0
93.0,Saeed Mostafavi Layegh (سعید مصطفوی لایق),1133.0,77.0,117.0,73.0,43.0,26.0,22.0,5.0,1.0,215.0,36.0,59.0,291.0,134.0,23.0,2.0,9.0
94.0,Nariman Nazari (نریمان نظری),1148.0,164.0,224.0,71.0,123.0,26.0,22.0,33.0,47.0,122.0,36.0,59.0,53.0,134.0,23.0,2.0,9.0
